onset	duration	sample	trial_type	response_time	stim_file	value
2.4990000000	n/a	n/a	stimulus	381	100061.jpg	easy_target
2.8800000000	n/a	n/a	response	n/a	n/a	correct
4.4570000000	n/a	n/a	stimulus	n/a	329014.jpg	easy_distractor
6.3390000000	n/a	n/a	stimulus	n/a	78079.jpg	easy_distractor
8.1880000000	n/a	n/a	stimulus	379	100061.jpg	easy_target
8.5670000000	n/a	n/a	response	n/a	n/a	correct
10.0550000000	n/a	n/a	stimulus	n/a	64030.jpg	easy_distractor
12.0480000000	n/a	n/a	stimulus	327	100061.jpg	easy_target
12.3750000000	n/a	n/a	response	n/a	n/a	correct
13.9630000000	n/a	n/a	stimulus	n/a	116037.jpg	easy_distractor
16.0580000000	n/a	n/a	stimulus	n/a	116049.jpg	easy_distractor
18.1610000000	n/a	n/a	stimulus	339	100061.jpg	easy_target
18.5000000000	n/a	n/a	response	n/a	n/a	correct
20.0340000000	n/a	n/a	stimulus	n/a	267058.jpg	easy_distractor
22.1110000000	n/a	n/a	stimulus	n/a	19073.jpg	easy_distractor
24.2400000000	n/a	n/a	stimulus	n/a	151070.jpg	easy_distractor
26.1050000000	n/a	n/a	stimulus	n/a	46009.jpg	easy_distractor
28.2080000000	n/a	n/a	stimulus	283	100061.jpg	easy_target
28.4910000000	n/a	n/a	response	n/a	n/a	correct
30.3890000000	n/a	n/a	stimulus	261	100061.jpg	easy_target
30.6500000000	n/a	n/a	response	n/a	n/a	correct
32.5060000000	n/a	n/a	stimulus	297	100061.jpg	easy_target
32.8030000000	n/a	n/a	response	n/a	n/a	correct
34.3700000000	n/a	n/a	stimulus	284	100061.jpg	easy_target
34.6540000000	n/a	n/a	response	n/a	n/a	correct
36.5760000000	n/a	n/a	stimulus	314	100061.jpg	easy_target
36.8900000000	n/a	n/a	response	n/a	n/a	correct
38.6690000000	n/a	n/a	stimulus	n/a	98015.jpg	easy_distractor
40.8330000000	n/a	n/a	stimulus	n/a	260009.jpg	easy_distractor
42.7500000000	n/a	n/a	stimulus	n/a	64007.jpg	easy_distractor
44.9020000000	n/a	n/a	stimulus	334	100061.jpg	easy_target
45.2360000000	n/a	n/a	response	n/a	n/a	correct
46.8790000000	n/a	n/a	stimulus	298	100061.jpg	easy_target
47.1770000000	n/a	n/a	response	n/a	n/a	correct
48.9440000000	n/a	n/a	stimulus	293	100061.jpg	easy_target
49.2370000000	n/a	n/a	response	n/a	n/a	correct
50.8080000000	n/a	n/a	stimulus	n/a	57029.jpg	easy_distractor
