onset	duration	sample	trial_type	response_time	stim_file	value
11.0790000000	n/a	n/a	stimulus	n/a	32078.jpg	animal_distractor
12.8810000000	n/a	n/a	stimulus	n/a	62017.jpg	animal_distractor
14.6950000000	n/a	n/a	stimulus	457	100003.jpg	animal_target
15.1520000000	n/a	n/a	response	n/a	n/a	correct
16.8420000000	n/a	n/a	stimulus	502	35100.jpg	animal_target
17.3440000000	n/a	n/a	response	n/a	n/a	correct
18.7250000000	n/a	n/a	stimulus	n/a	147011.jpg	animal_distractor
20.6360000000	n/a	n/a	stimulus	n/a	340095.jpg	animal_distractor
22.7060000000	n/a	n/a	stimulus	427	310018.jpg	animal_target
23.1330000000	n/a	n/a	response	n/a	n/a	correct
24.6360000000	n/a	n/a	stimulus	417	10074.jpg	animal_distractor
25.0530000000	n/a	n/a	response	n/a	n/a	incorrect
29.4480000000	n/a	n/a	stimulus	n/a	13048.jpg	animal_distractor
31.3990000000	n/a	n/a	stimulus	n/a	83037.jpg	animal_distractor
33.3710000000	n/a	n/a	stimulus	373	168025.jpg	animal_target
33.7440000000	n/a	n/a	response	n/a	n/a	correct
35.2050000000	n/a	n/a	stimulus	394	70092.jpg	animal_target
35.5990000000	n/a	n/a	response	n/a	n/a	correct
37.2010000000	n/a	n/a	stimulus	n/a	97056.jpg	animal_distractor
39.0430000000	n/a	n/a	stimulus	411	6010.jpg	animal_target
39.4540000000	n/a	n/a	response	n/a	n/a	correct
41.1940000000	n/a	n/a	stimulus	n/a	13067.jpg	animal_distractor
43.0310000000	n/a	n/a	stimulus	444	110045.jpg	animal_target
43.4750000000	n/a	n/a	response	n/a	n/a	correct
48.6700000000	n/a	n/a	stimulus	n/a	38042.jpg	animal_distractor
50.8500000000	n/a	n/a	stimulus	n/a	25098.jpg	animal_distractor
52.8110000000	n/a	n/a	stimulus	449	173002.jpg	animal_target
53.2600000000	n/a	n/a	response	n/a	n/a	correct
54.9340000000	n/a	n/a	stimulus	548	304038.jpg	animal_target
55.4820000000	n/a	n/a	response	n/a	n/a	correct
58.8790000000	n/a	n/a	stimulus	n/a	63057.jpg	animal_distractor
60.9730000000	n/a	n/a	stimulus	n/a	68096.jpg	animal_distractor
63.1230000000	n/a	n/a	stimulus	387	103081.jpg	animal_target
63.5100000000	n/a	n/a	response	n/a	n/a	correct
65.2240000000	n/a	n/a	stimulus	457	41039.jpg	animal_target
