onset	duration	sample	trial_type	response_time	stim_file	value
8.2900000000	n/a	n/a	stimulus	n/a	86003.jpg	difficult_distractor
10.3460000000	n/a	n/a	stimulus	379	164002.jpg	difficult_target
10.7250000000	n/a	n/a	response	n/a	n/a	correct
12.2750000000	n/a	n/a	stimulus	293	164002.jpg	difficult_target
12.5680000000	n/a	n/a	response	n/a	n/a	correct
14.4240000000	n/a	n/a	stimulus	238	164002.jpg	difficult_target
14.6620000000	n/a	n/a	response	n/a	n/a	correct
16.2540000000	n/a	n/a	stimulus	249	164002.jpg	difficult_target
16.5030000000	n/a	n/a	response	n/a	n/a	correct
18.3050000000	n/a	n/a	stimulus	344	217016.jpg	difficult_distractor
18.6490000000	n/a	n/a	response	n/a	n/a	incorrect
23.6850000000	n/a	n/a	stimulus	n/a	82081.jpg	difficult_distractor
25.7670000000	n/a	n/a	stimulus	300	164002.jpg	difficult_target
26.0670000000	n/a	n/a	response	n/a	n/a	correct
27.8800000000	n/a	n/a	stimulus	353	164002.jpg	difficult_target
28.2330000000	n/a	n/a	response	n/a	n/a	correct
29.7190000000	n/a	n/a	stimulus	n/a	117075.jpg	difficult_distractor
31.5410000000	n/a	n/a	stimulus	295	164002.jpg	difficult_target
31.8360000000	n/a	n/a	response	n/a	n/a	correct
33.3800000000	n/a	n/a	stimulus	n/a	65119.jpg	difficult_distractor
35.4610000000	n/a	n/a	stimulus	385	164002.jpg	difficult_target
35.8460000000	n/a	n/a	response	n/a	n/a	correct
37.3440000000	n/a	n/a	stimulus	n/a	131061.jpg	difficult_distractor
39.2470000000	n/a	n/a	stimulus	n/a	138027.jpg	difficult_distractor
41.1160000000	n/a	n/a	stimulus	394	164002.jpg	difficult_target
41.5100000000	n/a	n/a	response	n/a	n/a	correct
43.2190000000	n/a	n/a	stimulus	377	164002.jpg	difficult_target
43.5960000000	n/a	n/a	response	n/a	n/a	correct
45.3110000000	n/a	n/a	stimulus	n/a	32086.jpg	difficult_distractor
47.2040000000	n/a	n/a	stimulus	n/a	162059.jpg	difficult_distractor
49.1000000000	n/a	n/a	stimulus	n/a	92020.jpg	difficult_distractor
51.0770000000	n/a	n/a	stimulus	383	164002.jpg	difficult_target
51.4600000000	n/a	n/a	response	n/a	n/a	correct
53.2670000000	n/a	n/a	stimulus	335	208048.jpg	difficult_distractor
53.6020000000	n/a	n/a	response	n/a	n/a	incorrect
55.4500000000	n/a	n/a	stimulus	n/a	207048.jpg	difficult_distractor
57.6590000000	n/a	n/a	stimulus	346	164002.jpg	difficult_target
58.0050000000	n/a	n/a	response	n/a	n/a	correct
59.5750000000	n/a	n/a	stimulus	n/a	82047.jpg	difficult_distractor
61.7230000000	n/a	n/a	stimulus	n/a	329065.jpg	difficult_distractor
63.5740000000	n/a	n/a	stimulus	n/a	32059.jpg	difficult_distractor
65.6200000000	n/a	n/a	stimulus	420	164002.jpg	difficult_target
66.0400000000	n/a	n/a	response	n/a	n/a	correct
67.7410000000	n/a	n/a	stimulus	347	164002.jpg	difficult_target
68.0880000000	n/a	n/a	response	n/a	n/a	correct
69.7590000000	n/a	n/a	stimulus	450	164002.jpg	difficult_target
70.2090000000	n/a	n/a	response	n/a	n/a	correct
73.9720000000	n/a	n/a	stimulus	n/a	166002.jpg	difficult_distractor
75.8500000000	n/a	n/a	stimulus	363	164002.jpg	difficult_target
76.2130000000	n/a	n/a	response	n/a	n/a	correct
77.6640000000	n/a	n/a	stimulus	n/a	131021.jpg	difficult_distractor
79.5820000000	n/a	n/a	stimulus	330	164002.jpg	difficult_target
79.9120000000	n/a	n/a	response	n/a	n/a	correct
81.7840000000	n/a	n/a	stimulus	n/a	330008.jpg	difficult_distractor
83.8590000000	n/a	n/a	stimulus	n/a	98044.jpg	difficult_distractor
85.8240000000	n/a	n/a	stimulus	n/a	261032.jpg	difficult_distractor
87.8220000000	n/a	n/a	stimulus	343	164002.jpg	difficult_target
88.1650000000	n/a	n/a	response	n/a	n/a	correct
