onset	duration	sample	trial_type	response_time	stim_file	value
9.2040000000	n/a	n/a	stimulus	n/a	48072.jpg	animal_distractor
11.3080000000	n/a	n/a	stimulus	n/a	56058.jpg	animal_distractor
13.3260000000	n/a	n/a	stimulus	n/a	2025.jpg	animal_distractor
15.4720000000	n/a	n/a	stimulus	358	42036.jpg	animal_target
15.8300000000	n/a	n/a	response	n/a	n/a	correct
17.5150000000	n/a	n/a	stimulus	351	175076.jpg	animal_target
17.8660000000	n/a	n/a	response	n/a	n/a	correct
19.4350000000	n/a	n/a	stimulus	n/a	98075.jpg	animal_distractor
21.6060000000	n/a	n/a	stimulus	n/a	86023.jpg	animal_distractor
23.4450000000	n/a	n/a	stimulus	n/a	69013.jpg	animal_distractor
25.5530000000	n/a	n/a	stimulus	485	194061.jpg	animal_distractor
26.0380000000	n/a	n/a	response	n/a	n/a	incorrect
27.6340000000	n/a	n/a	stimulus	578	110002.jpg	animal_target
28.2120000000	n/a	n/a	response	n/a	n/a	correct
29.4560000000	n/a	n/a	stimulus	468	173024.jpg	animal_target
29.9240000000	n/a	n/a	response	n/a	n/a	correct
31.5470000000	n/a	n/a	stimulus	n/a	25076.jpg	animal_distractor
33.5430000000	n/a	n/a	stimulus	n/a	147030.jpg	animal_distractor
35.3550000000	n/a	n/a	stimulus	763	378006.jpg	animal_target
36.1180000000	n/a	n/a	response	n/a	n/a	correct
37.5550000000	n/a	n/a	stimulus	n/a	234005.jpg	animal_distractor
39.4040000000	n/a	n/a	stimulus	765	104009.jpg	animal_target
40.1690000000	n/a	n/a	response	n/a	n/a	correct
41.3320000000	n/a	n/a	stimulus	n/a	82063.jpg	animal_distractor
43.3320000000	n/a	n/a	stimulus	416	105055.jpg	animal_target
43.7480000000	n/a	n/a	response	n/a	n/a	correct
45.4970000000	n/a	n/a	stimulus	408	326040.jpg	animal_target
45.9050000000	n/a	n/a	response	n/a	n/a	correct
47.5460000000	n/a	n/a	stimulus	350	107024.jpg	animal_target
47.8960000000	n/a	n/a	response	n/a	n/a	correct
49.6890000000	n/a	n/a	stimulus	n/a	74070.jpg	animal_distractor
51.5840000000	n/a	n/a	stimulus	n/a	132015.jpg	animal_distractor
53.3950000000	n/a	n/a	stimulus	389	6005.jpg	animal_target
53.7840000000	n/a	n/a	response	n/a	n/a	correct
55.2390000000	n/a	n/a	stimulus	511	173053.jpg	animal_target
55.7500000000	n/a	n/a	response	n/a	n/a	correct
57.3370000000	n/a	n/a	stimulus	n/a	67099.jpg	animal_distractor
59.2610000000	n/a	n/a	stimulus	359	209077.jpg	animal_target
59.6200000000	n/a	n/a	response	n/a	n/a	correct
61.2930000000	n/a	n/a	stimulus	n/a	279018.jpg	animal_distractor
63.4490000000	n/a	n/a	stimulus	n/a	50034.jpg	animal_distractor
65.3370000000	n/a	n/a	stimulus	387	105071.jpg	animal_target
65.7240000000	n/a	n/a	response	n/a	n/a	correct
67.2600000000	n/a	n/a	stimulus	n/a	374091.jpg	animal_distractor
69.1950000000	n/a	n/a	stimulus	422	52036.jpg	animal_target
69.6170000000	n/a	n/a	response	n/a	n/a	correct
71.0500000000	n/a	n/a	stimulus	392	105064.jpg	animal_target
71.4420000000	n/a	n/a	response	n/a	n/a	correct
73.0980000000	n/a	n/a	stimulus	532	8159.jpg	animal_target
73.6300000000	n/a	n/a	response	n/a	n/a	correct
75.2490000000	n/a	n/a	stimulus	265	168076.jpg	animal_target
75.5140000000	n/a	n/a	response	n/a	n/a	correct
77.1170000000	n/a	n/a	stimulus	273	136095.jpg	animal_target
77.3900000000	n/a	n/a	response	n/a	n/a	correct
79.1290000000	n/a	n/a	stimulus	n/a	83070.jpg	animal_distractor
81.1850000000	n/a	n/a	stimulus	317	105038.jpg	animal_target
81.5020000000	n/a	n/a	response	n/a	n/a	correct
83.3610000000	n/a	n/a	stimulus	n/a	38068.jpg	animal_distractor
85.3780000000	n/a	n/a	stimulus	352	183034.jpg	animal_target
85.7300000000	n/a	n/a	response	n/a	n/a	correct
87.4890000000	n/a	n/a	stimulus	n/a	124007.jpg	animal_distractor
89.4070000000	n/a	n/a	stimulus	n/a	144086.jpg	animal_distractor
91.3700000000	n/a	n/a	stimulus	n/a	63093.jpg	animal_distractor
93.5690000000	n/a	n/a	stimulus	n/a	121000.jpg	animal_distractor
95.4500000000	n/a	n/a	stimulus	330	104000.jpg	animal_target
95.7800000000	n/a	n/a	response	n/a	n/a	correct
97.5790000000	n/a	n/a	stimulus	n/a	116006.jpg	animal_distractor
99.6490000000	n/a	n/a	stimulus	332	210055.jpg	animal_target
99.9810000000	n/a	n/a	response	n/a	n/a	correct
101.5400000000	n/a	n/a	stimulus	n/a	5079.jpg	animal_distractor
103.5530000000	n/a	n/a	stimulus	345	112053.jpg	animal_target
103.8980000000	n/a	n/a	response	n/a	n/a	correct
105.3650000000	n/a	n/a	stimulus	n/a	173051.jpg	animal_target
107.2680000000	n/a	n/a	stimulus	369	8037.jpg	animal_target
107.6370000000	n/a	n/a	response	n/a	n/a	correct
109.4360000000	n/a	n/a	stimulus	n/a	116029.jpg	animal_distractor
111.4660000000	n/a	n/a	stimulus	n/a	158046.jpg	animal_distractor
113.5870000000	n/a	n/a	stimulus	249	253092.jpg	animal_target
113.8360000000	n/a	n/a	response	n/a	n/a	correct
115.4800000000	n/a	n/a	stimulus	396	163072.jpg	animal_target
115.8760000000	n/a	n/a	response	n/a	n/a	correct
117.5620000000	n/a	n/a	stimulus	n/a	138084.jpg	animal_distractor
119.5780000000	n/a	n/a	stimulus	342	216028.jpg	animal_target
119.9200000000	n/a	n/a	response	n/a	n/a	correct
121.6730000000	n/a	n/a	stimulus	382	112057.jpg	animal_target
122.0550000000	n/a	n/a	response	n/a	n/a	correct
