onset	duration	sample	trial_type	response_time	stim_file	value
7.5560000000	n/a	n/a	stimulus	440	196023.jpg	easy_target
7.9960000000	n/a	n/a	response	n/a	n/a	correct
9.6490000000	n/a	n/a	stimulus	252	196023.jpg	easy_target
9.9010000000	n/a	n/a	response	n/a	n/a	correct
11.7920000000	n/a	n/a	stimulus	n/a	73080.jpg	easy_distractor
13.9960000000	n/a	n/a	stimulus	n/a	142028.jpg	easy_distractor
16.0390000000	n/a	n/a	stimulus	297	196023.jpg	easy_target
16.3360000000	n/a	n/a	response	n/a	n/a	correct
18.0190000000	n/a	n/a	stimulus	n/a	297000.jpg	easy_distractor
20.0450000000	n/a	n/a	stimulus	n/a	11076.jpg	easy_distractor
22.2260000000	n/a	n/a	stimulus	n/a	68015.jpg	easy_distractor
24.3030000000	n/a	n/a	stimulus	n/a	111054.jpg	easy_distractor
26.2920000000	n/a	n/a	stimulus	397	196023.jpg	easy_target
26.6890000000	n/a	n/a	response	n/a	n/a	correct
28.3280000000	n/a	n/a	stimulus	234	196023.jpg	easy_target
28.5620000000	n/a	n/a	response	n/a	n/a	correct
30.3020000000	n/a	n/a	stimulus	n/a	144085.jpg	easy_distractor
32.1190000000	n/a	n/a	stimulus	n/a	363019.jpg	easy_distractor
34.1290000000	n/a	n/a	stimulus	n/a	28002.jpg	easy_distractor
35.9580000000	n/a	n/a	stimulus	323	196023.jpg	easy_target
36.2810000000	n/a	n/a	response	n/a	n/a	correct
37.9840000000	n/a	n/a	stimulus	n/a	68036.jpg	easy_distractor
40.1240000000	n/a	n/a	stimulus	n/a	111014.jpg	easy_distractor
42.1120000000	n/a	n/a	stimulus	n/a	261096.jpg	easy_distractor
43.9950000000	n/a	n/a	stimulus	n/a	150006.jpg	easy_distractor
45.8570000000	n/a	n/a	stimulus	n/a	72034.jpg	easy_distractor
47.7960000000	n/a	n/a	stimulus	400	196023.jpg	easy_target
48.1960000000	n/a	n/a	response	n/a	n/a	correct
49.6590000000	n/a	n/a	stimulus	422	196023.jpg	easy_target
50.0810000000	n/a	n/a	response	n/a	n/a	correct
51.8560000000	n/a	n/a	stimulus	267	196023.jpg	easy_target
52.1230000000	n/a	n/a	response	n/a	n/a	correct
53.6810000000	n/a	n/a	stimulus	317	196023.jpg	easy_target
53.9980000000	n/a	n/a	response	n/a	n/a	correct
55.7520000000	n/a	n/a	stimulus	n/a	191052.jpg	easy_distractor
57.7180000000	n/a	n/a	stimulus	383	196023.jpg	easy_target
58.1010000000	n/a	n/a	response	n/a	n/a	correct
59.5610000000	n/a	n/a	stimulus	303	196023.jpg	easy_target
59.8640000000	n/a	n/a	response	n/a	n/a	correct
61.7170000000	n/a	n/a	stimulus	353	196023.jpg	easy_target
62.0700000000	n/a	n/a	response	n/a	n/a	correct
63.7860000000	n/a	n/a	stimulus	n/a	162045.jpg	easy_distractor
65.9900000000	n/a	n/a	stimulus	n/a	334019.jpg	easy_distractor
67.8770000000	n/a	n/a	stimulus	n/a	237083.jpg	easy_distractor
70.0480000000	n/a	n/a	stimulus	n/a	23098.jpg	easy_distractor
72.0880000000	n/a	n/a	stimulus	n/a	207012.jpg	easy_distractor
74.0290000000	n/a	n/a	stimulus	409	196023.jpg	easy_target
74.4380000000	n/a	n/a	response	n/a	n/a	correct
75.9400000000	n/a	n/a	stimulus	391	196023.jpg	easy_target
76.3310000000	n/a	n/a	response	n/a	n/a	correct
77.8530000000	n/a	n/a	stimulus	292	196023.jpg	easy_target
78.1450000000	n/a	n/a	response	n/a	n/a	correct
79.7110000000	n/a	n/a	stimulus	n/a	285006.jpg	easy_distractor
81.5980000000	n/a	n/a	stimulus	461	196023.jpg	easy_target
82.0590000000	n/a	n/a	response	n/a	n/a	correct
83.7300000000	n/a	n/a	stimulus	248	196023.jpg	easy_target
83.9780000000	n/a	n/a	response	n/a	n/a	correct
85.7640000000	n/a	n/a	stimulus	300	196023.jpg	easy_target
86.0640000000	n/a	n/a	response	n/a	n/a	correct
87.5740000000	n/a	n/a	stimulus	n/a	82054.jpg	easy_distractor
89.7210000000	n/a	n/a	stimulus	n/a	116000.jpg	easy_distractor
91.6060000000	n/a	n/a	stimulus	309	196023.jpg	easy_target
91.9150000000	n/a	n/a	response	n/a	n/a	correct
93.7050000000	n/a	n/a	stimulus	273	196023.jpg	easy_target
93.9780000000	n/a	n/a	response	n/a	n/a	correct
95.5230000000	n/a	n/a	stimulus	n/a	131053.jpg	easy_distractor
97.4160000000	n/a	n/a	stimulus	n/a	22066.jpg	easy_distractor
99.3330000000	n/a	n/a	stimulus	398	196023.jpg	easy_target
99.7310000000	n/a	n/a	response	n/a	n/a	correct
101.3860000000	n/a	n/a	stimulus	n/a	250010.jpg	easy_distractor
103.4130000000	n/a	n/a	stimulus	n/a	56018.jpg	easy_distractor
105.2530000000	n/a	n/a	stimulus	394	196023.jpg	easy_target
105.6470000000	n/a	n/a	response	n/a	n/a	correct
107.4570000000	n/a	n/a	stimulus	n/a	124011.jpg	easy_distractor
109.5030000000	n/a	n/a	stimulus	n/a	71082.jpg	easy_distractor
111.5210000000	n/a	n/a	stimulus	365	196023.jpg	easy_target
111.8860000000	n/a	n/a	response	n/a	n/a	correct
113.5150000000	n/a	n/a	stimulus	n/a	166070.jpg	easy_distractor
115.6650000000	n/a	n/a	stimulus	n/a	32063.jpg	easy_distractor
117.6230000000	n/a	n/a	stimulus	389	196023.jpg	easy_target
118.0120000000	n/a	n/a	response	n/a	n/a	correct
119.7410000000	n/a	n/a	stimulus	n/a	177042.jpg	easy_distractor
121.7670000000	n/a	n/a	stimulus	320	196023.jpg	easy_target
122.0870000000	n/a	n/a	response	n/a	n/a	correct
123.7330000000	n/a	n/a	stimulus	314	196023.jpg	easy_target
124.0470000000	n/a	n/a	response	n/a	n/a	correct
125.7660000000	n/a	n/a	stimulus	347	196023.jpg	easy_target
126.1130000000	n/a	n/a	response	n/a	n/a	correct
127.9600000000	n/a	n/a	stimulus	289	196023.jpg	easy_target
128.2490000000	n/a	n/a	response	n/a	n/a	correct
130.1160000000	n/a	n/a	stimulus	n/a	10003.jpg	easy_distractor
132.2730000000	n/a	n/a	stimulus	n/a	144055.jpg	easy_distractor
134.3950000000	n/a	n/a	stimulus	325	196023.jpg	easy_target
134.7200000000	n/a	n/a	response	n/a	n/a	correct
136.4260000000	n/a	n/a	stimulus	265	146021.jpg	easy_distractor
