onset	duration	sample	trial_type	response_time	stim_file	value
4.9610000000	n/a	n/a	stimulus	n/a	194029.jpg	nonanimal_distractor
6.9560000000	n/a	n/a	stimulus	484	23023.jpg	nonanimal_target
7.4400000000	n/a	n/a	response	n/a	n/a	correct
9.0480000000	n/a	n/a	stimulus	330	23023.jpg	nonanimal_target
9.3780000000	n/a	n/a	response	n/a	n/a	correct
11.2460000000	n/a	n/a	stimulus	n/a	221088.jpg	nonanimal_distractor
13.1390000000	n/a	n/a	stimulus	346	23023.jpg	nonanimal_target
13.4850000000	n/a	n/a	response	n/a	n/a	correct
15.1060000000	n/a	n/a	stimulus	n/a	36124.jpg	nonanimal_distractor
17.2800000000	n/a	n/a	stimulus	n/a	32033.jpg	nonanimal_distractor
19.2080000000	n/a	n/a	stimulus	n/a	63090.jpg	nonanimal_distractor
21.2210000000	n/a	n/a	stimulus	n/a	28043.jpg	nonanimal_distractor
23.0410000000	n/a	n/a	stimulus	365	23023.jpg	nonanimal_target
23.4060000000	n/a	n/a	response	n/a	n/a	correct
24.8990000000	n/a	n/a	stimulus	289	23023.jpg	nonanimal_target
25.1880000000	n/a	n/a	response	n/a	n/a	correct
26.7720000000	n/a	n/a	stimulus	n/a	102041.jpg	nonanimal_distractor
28.6250000000	n/a	n/a	stimulus	n/a	147033.jpg	nonanimal_distractor
30.7590000000	n/a	n/a	stimulus	n/a	48023.jpg	nonanimal_distractor
32.5790000000	n/a	n/a	stimulus	n/a	177021.jpg	nonanimal_distractor
34.6200000000	n/a	n/a	stimulus	359	23023.jpg	nonanimal_target
34.9790000000	n/a	n/a	response	n/a	n/a	correct
36.7730000000	n/a	n/a	stimulus	n/a	138097.jpg	nonanimal_distractor
38.8910000000	n/a	n/a	stimulus	411	23023.jpg	nonanimal_target
39.3020000000	n/a	n/a	response	n/a	n/a	correct
40.7370000000	n/a	n/a	stimulus	n/a	25097.jpg	nonanimal_distractor
42.7980000000	n/a	n/a	stimulus	349	23023.jpg	nonanimal_target
43.1470000000	n/a	n/a	response	n/a	n/a	correct
44.7970000000	n/a	n/a	stimulus	352	23023.jpg	nonanimal_target
45.1490000000	n/a	n/a	response	n/a	n/a	correct
46.8500000000	n/a	n/a	stimulus	366	23023.jpg	nonanimal_target
47.2160000000	n/a	n/a	response	n/a	n/a	correct
48.8370000000	n/a	n/a	stimulus	n/a	286025.jpg	nonanimal_distractor
