onset	duration	sample	trial_type	response_time	stim_file	value
3.2940000000	n/a	n/a	stimulus	329	35023.jpg	difficult_target
3.6230000000	n/a	n/a	response	n/a	n/a	correct
5.2750000000	n/a	n/a	stimulus	250	35023.jpg	difficult_target
5.5250000000	n/a	n/a	response	n/a	n/a	correct
7.4270000000	n/a	n/a	stimulus	219	35023.jpg	difficult_target
7.6460000000	n/a	n/a	response	n/a	n/a	correct
9.2450000000	n/a	n/a	stimulus	n/a	261016.jpg	difficult_distractor
11.2440000000	n/a	n/a	stimulus	327	35023.jpg	difficult_target
11.5710000000	n/a	n/a	response	n/a	n/a	correct
13.1720000000	n/a	n/a	stimulus	219	35023.jpg	difficult_target
13.3910000000	n/a	n/a	response	n/a	n/a	correct
15.2110000000	n/a	n/a	stimulus	226	266034.jpg	difficult_distractor
15.4370000000	n/a	n/a	response	n/a	n/a	incorrect
17.1610000000	n/a	n/a	stimulus	237	35023.jpg	difficult_target
17.3980000000	n/a	n/a	response	n/a	n/a	correct
19.2210000000	n/a	n/a	stimulus	n/a	341052.jpg	difficult_distractor
21.2500000000	n/a	n/a	stimulus	n/a	124081.jpg	difficult_distractor
23.0790000000	n/a	n/a	stimulus	345	35023.jpg	difficult_target
23.4240000000	n/a	n/a	response	n/a	n/a	correct
24.9820000000	n/a	n/a	stimulus	247	35023.jpg	difficult_target
25.2290000000	n/a	n/a	response	n/a	n/a	correct
26.8240000000	n/a	n/a	stimulus	225	35023.jpg	difficult_target
27.0490000000	n/a	n/a	response	n/a	n/a	correct
28.7200000000	n/a	n/a	stimulus	245	35023.jpg	difficult_target
28.9650000000	n/a	n/a	response	n/a	n/a	correct
30.6170000000	n/a	n/a	stimulus	308	35023.jpg	difficult_target
30.9250000000	n/a	n/a	response	n/a	n/a	correct
32.7930000000	n/a	n/a	stimulus	n/a	177096.jpg	difficult_distractor
34.8310000000	n/a	n/a	stimulus	n/a	83001.jpg	difficult_distractor
36.8910000000	n/a	n/a	stimulus	n/a	121015.jpg	difficult_distractor
39.0700000000	n/a	n/a	stimulus	214	35023.jpg	difficult_target
39.2840000000	n/a	n/a	response	n/a	n/a	correct
41.0420000000	n/a	n/a	stimulus	n/a	111034.jpg	difficult_distractor
43.2070000000	n/a	n/a	stimulus	n/a	162006.jpg	difficult_distractor
45.0780000000	n/a	n/a	stimulus	n/a	5045.jpg	difficult_distractor
47.0170000000	n/a	n/a	stimulus	n/a	242083.jpg	difficult_distractor
48.9010000000	n/a	n/a	stimulus	302	35023.jpg	difficult_target
49.2030000000	n/a	n/a	response	n/a	n/a	correct
53.0430000000	n/a	n/a	stimulus	n/a	58016.jpg	difficult_distractor
55.0450000000	n/a	n/a	stimulus	n/a	138078.jpg	difficult_distractor
57.1470000000	n/a	n/a	stimulus	n/a	253013.jpg	difficult_distractor
59.0320000000	n/a	n/a	stimulus	n/a	121057.jpg	difficult_distractor
61.0460000000	n/a	n/a	stimulus	290	35023.jpg	difficult_target
61.3360000000	n/a	n/a	response	n/a	n/a	correct
62.8690000000	n/a	n/a	stimulus	n/a	121051.jpg	difficult_distractor
65.0210000000	n/a	n/a	stimulus	388	35023.jpg	difficult_target
65.4090000000	n/a	n/a	response	n/a	n/a	correct
67.0740000000	n/a	n/a	stimulus	329	35023.jpg	difficult_target
67.4030000000	n/a	n/a	response	n/a	n/a	correct
69.2180000000	n/a	n/a	stimulus	277	35023.jpg	difficult_target
69.4950000000	n/a	n/a	response	n/a	n/a	correct
71.4100000000	n/a	n/a	stimulus	275	35023.jpg	difficult_target
71.6850000000	n/a	n/a	response	n/a	n/a	correct
73.4480000000	n/a	n/a	stimulus	n/a	19089.jpg	difficult_distractor
75.4410000000	n/a	n/a	stimulus	n/a	207069.jpg	difficult_distractor
77.5490000000	n/a	n/a	stimulus	n/a	27082.jpg	difficult_distractor
79.3850000000	n/a	n/a	stimulus	344	35023.jpg	difficult_target
79.7290000000	n/a	n/a	response	n/a	n/a	correct
81.4600000000	n/a	n/a	stimulus	271	35023.jpg	difficult_target
81.7310000000	n/a	n/a	response	n/a	n/a	correct
83.6380000000	n/a	n/a	stimulus	224	35023.jpg	difficult_target
83.8620000000	n/a	n/a	response	n/a	n/a	correct
85.6280000000	n/a	n/a	stimulus	240	35023.jpg	difficult_target
85.8680000000	n/a	n/a	response	n/a	n/a	correct
87.6440000000	n/a	n/a	stimulus	n/a	13090.jpg	difficult_distractor
89.5260000000	n/a	n/a	stimulus	n/a	32073.jpg	difficult_distractor
91.7070000000	n/a	n/a	stimulus	n/a	96021.jpg	difficult_distractor
93.8010000000	n/a	n/a	stimulus	234	35023.jpg	difficult_target
94.0350000000	n/a	n/a	response	n/a	n/a	correct
95.7130000000	n/a	n/a	stimulus	268	35023.jpg	difficult_target
95.9810000000	n/a	n/a	response	n/a	n/a	correct
97.6790000000	n/a	n/a	stimulus	253	35023.jpg	difficult_target
97.9320000000	n/a	n/a	response	n/a	n/a	correct
99.6990000000	n/a	n/a	stimulus	213	35023.jpg	difficult_target
99.9120000000	n/a	n/a	response	n/a	n/a	correct
101.5240000000	n/a	n/a	stimulus	n/a	374053.jpg	difficult_distractor
103.4660000000	n/a	n/a	stimulus	434	35023.jpg	difficult_target
103.9000000000	n/a	n/a	response	n/a	n/a	correct
107.4460000000	n/a	n/a	stimulus	n/a	69010.jpg	difficult_distractor
109.6010000000	n/a	n/a	stimulus	n/a	83045.jpg	difficult_distractor
111.5090000000	n/a	n/a	stimulus	n/a	374037.jpg	difficult_distractor
113.5790000000	n/a	n/a	stimulus	n/a	184060.jpg	difficult_distractor
115.4400000000	n/a	n/a	stimulus	215	329054.jpg	difficult_distractor
115.6550000000	n/a	n/a	response	n/a	n/a	incorrect
117.6500000000	n/a	n/a	stimulus	n/a	144069.jpg	difficult_distractor
119.7670000000	n/a	n/a	stimulus	n/a	115015.jpg	difficult_distractor
121.9620000000	n/a	n/a	stimulus	390	35023.jpg	difficult_target
122.3520000000	n/a	n/a	response	n/a	n/a	correct
124.0400000000	n/a	n/a	stimulus	318	35023.jpg	difficult_target
124.3580000000	n/a	n/a	response	n/a	n/a	correct
126.1700000000	n/a	n/a	stimulus	n/a	131082.jpg	difficult_distractor
128.2470000000	n/a	n/a	stimulus	299	35023.jpg	difficult_target
128.5460000000	n/a	n/a	response	n/a	n/a	correct
130.4300000000	n/a	n/a	stimulus	266	35023.jpg	difficult_target
130.6960000000	n/a	n/a	response	n/a	n/a	correct
132.6210000000	n/a	n/a	stimulus	n/a	5015.jpg	difficult_distractor
134.6650000000	n/a	n/a	stimulus	299	35023.jpg	difficult_target
134.9640000000	n/a	n/a	response	n/a	n/a	correct
136.5840000000	n/a	n/a	stimulus	n/a	267039.jpg	difficult_distractor
