onset	duration	sample	trial_type	response_time	stim_file	value
2.9610000000	n/a	n/a	stimulus	343	6041.jpg	animal_target
3.3040000000	n/a	n/a	response	n/a	n/a	correct
4.7640000000	n/a	n/a	stimulus	281	41090.jpg	animal_target
5.0450000000	n/a	n/a	response	n/a	n/a	correct
6.5780000000	n/a	n/a	stimulus	n/a	374075.jpg	animal_distractor
8.7240000000	n/a	n/a	stimulus	n/a	63057.jpg	animal_distractor
10.6070000000	n/a	n/a	stimulus	383	35100.jpg	animal_target
10.9900000000	n/a	n/a	response	n/a	n/a	correct
12.5190000000	n/a	n/a	stimulus	302	70092.jpg	animal_target
12.8210000000	n/a	n/a	response	n/a	n/a	correct
14.5890000000	n/a	n/a	stimulus	444	143067.jpg	animal_distractor
15.0330000000	n/a	n/a	response	n/a	n/a	incorrect
16.5180000000	n/a	n/a	stimulus	328	310018.jpg	animal_target
16.8460000000	n/a	n/a	response	n/a	n/a	correct
18.3840000000	n/a	n/a	stimulus	357	35096.jpg	animal_target
18.7410000000	n/a	n/a	response	n/a	n/a	correct
20.3340000000	n/a	n/a	stimulus	261	268065.jpg	animal_target
20.5950000000	n/a	n/a	response	n/a	n/a	correct
22.3070000000	n/a	n/a	stimulus	290	136035.jpg	animal_target
22.5970000000	n/a	n/a	response	n/a	n/a	correct
24.1410000000	n/a	n/a	stimulus	485	194070.jpg	animal_distractor
24.6260000000	n/a	n/a	response	n/a	n/a	incorrect
26.1320000000	n/a	n/a	stimulus	386	160004.jpg	animal_target
26.5180000000	n/a	n/a	response	n/a	n/a	correct
27.9750000000	n/a	n/a	stimulus	419	187050.jpg	animal_target
28.3940000000	n/a	n/a	response	n/a	n/a	correct
32.5110000000	n/a	n/a	stimulus	345	49070.jpg	animal_target
32.8560000000	n/a	n/a	response	n/a	n/a	correct
34.3480000000	n/a	n/a	stimulus	269	100055.jpg	animal_target
34.6170000000	n/a	n/a	response	n/a	n/a	correct
36.2800000000	n/a	n/a	stimulus	324	279014.jpg	animal_distractor
36.6040000000	n/a	n/a	response	n/a	n/a	incorrect
38.4600000000	n/a	n/a	stimulus	404	32097.jpg	animal_distractor
38.8640000000	n/a	n/a	response	n/a	n/a	incorrect
40.4210000000	n/a	n/a	stimulus	n/a	10074.jpg	animal_distractor
42.5440000000	n/a	n/a	stimulus	n/a	138054.jpg	animal_distractor
44.4890000000	n/a	n/a	stimulus	n/a	102030.jpg	animal_distractor
46.5810000000	n/a	n/a	stimulus	467	35029.jpg	animal_target
47.0480000000	n/a	n/a	response	n/a	n/a	correct
48.7320000000	n/a	n/a	stimulus	n/a	166004.jpg	animal_distractor
50.8360000000	n/a	n/a	stimulus	n/a	86018.jpg	animal_distractor
52.7730000000	n/a	n/a	stimulus	n/a	166062.jpg	animal_distractor
54.6520000000	n/a	n/a	stimulus	406	289023.jpg	animal_target
55.0580000000	n/a	n/a	response	n/a	n/a	correct
56.5970000000	n/a	n/a	stimulus	297	168025.jpg	animal_target
56.8940000000	n/a	n/a	response	n/a	n/a	correct
58.5960000000	n/a	n/a	stimulus	328	335041.jpg	animal_target
58.9240000000	n/a	n/a	response	n/a	n/a	correct
60.5080000000	n/a	n/a	stimulus	326	135018.jpg	animal_target
60.8340000000	n/a	n/a	response	n/a	n/a	correct
64.8550000000	n/a	n/a	stimulus	492	110045.jpg	animal_target
65.3470000000	n/a	n/a	response	n/a	n/a	correct
66.7820000000	n/a	n/a	stimulus	464	6054.jpg	animal_target
67.2460000000	n/a	n/a	response	n/a	n/a	correct
68.7880000000	n/a	n/a	stimulus	n/a	65137.jpg	animal_distractor
70.6610000000	n/a	n/a	stimulus	n/a	131002.jpg	animal_distractor
