onset	duration	sample	trial_type	response_time	stim_file	value
5.5170000000	n/a	n/a	stimulus	n/a	173053.jpg	animal_target
7.6960000000	n/a	n/a	stimulus	325	326040.jpg	animal_target
8.0210000000	n/a	n/a	response	n/a	n/a	correct
9.7050000000	n/a	n/a	stimulus	n/a	2025.jpg	animal_distractor
11.6040000000	n/a	n/a	stimulus	n/a	279063.jpg	animal_distractor
13.5030000000	n/a	n/a	stimulus	425	8159.jpg	animal_target
13.9280000000	n/a	n/a	response	n/a	n/a	correct
15.5700000000	n/a	n/a	stimulus	n/a	194061.jpg	animal_distractor
17.5450000000	n/a	n/a	stimulus	n/a	124007.jpg	animal_distractor
19.7020000000	n/a	n/a	stimulus	n/a	116006.jpg	animal_distractor
21.8730000000	n/a	n/a	stimulus	n/a	2008.jpg	animal_distractor
24.0350000000	n/a	n/a	stimulus	n/a	363045.jpg	animal_distractor
26.1230000000	n/a	n/a	stimulus	n/a	93007.jpg	animal_distractor
27.9680000000	n/a	n/a	stimulus	319	42036.jpg	animal_target
28.2870000000	n/a	n/a	response	n/a	n/a	correct
29.8360000000	n/a	n/a	stimulus	267	136052.jpg	animal_target
30.1030000000	n/a	n/a	response	n/a	n/a	correct
31.7270000000	n/a	n/a	stimulus	n/a	86040.jpg	animal_distractor
33.8580000000	n/a	n/a	stimulus	n/a	86023.jpg	animal_distractor
35.6830000000	n/a	n/a	stimulus	n/a	74070.jpg	animal_distractor
37.7700000000	n/a	n/a	stimulus	n/a	307043.jpg	animal_target
39.9070000000	n/a	n/a	stimulus	n/a	116020.jpg	animal_distractor
41.9970000000	n/a	n/a	stimulus	363	107024.jpg	animal_target
42.3600000000	n/a	n/a	response	n/a	n/a	correct
44.0670000000	n/a	n/a	stimulus	312	163042.jpg	animal_target
44.3790000000	n/a	n/a	response	n/a	n/a	correct
46.1420000000	n/a	n/a	stimulus	n/a	166026.jpg	animal_distractor
48.0730000000	n/a	n/a	stimulus	420	67099.jpg	animal_distractor
48.4930000000	n/a	n/a	response	n/a	n/a	incorrect
50.2770000000	n/a	n/a	stimulus	n/a	147030.jpg	animal_distractor
52.1120000000	n/a	n/a	stimulus	331	105064.jpg	animal_target
52.4430000000	n/a	n/a	response	n/a	n/a	correct
53.9570000000	n/a	n/a	stimulus	354	209077.jpg	animal_target
54.3110000000	n/a	n/a	response	n/a	n/a	correct
55.9600000000	n/a	n/a	stimulus	n/a	56058.jpg	animal_distractor
57.7740000000	n/a	n/a	stimulus	354	107082.jpg	animal_target
58.1280000000	n/a	n/a	response	n/a	n/a	correct
59.9160000000	n/a	n/a	stimulus	n/a	374091.jpg	animal_distractor
61.9550000000	n/a	n/a	stimulus	390	6005.jpg	animal_target
62.3450000000	n/a	n/a	response	n/a	n/a	correct
64.1650000000	n/a	n/a	stimulus	n/a	98075.jpg	animal_distractor
66.2270000000	n/a	n/a	stimulus	323	378006.jpg	animal_target
66.5500000000	n/a	n/a	response	n/a	n/a	correct
68.2010000000	n/a	n/a	stimulus	n/a	28025.jpg	animal_distractor
70.3820000000	n/a	n/a	stimulus	298	268043.jpg	animal_target
70.6800000000	n/a	n/a	response	n/a	n/a	correct
72.4150000000	n/a	n/a	stimulus	351	335092.jpg	animal_target
72.7660000000	n/a	n/a	response	n/a	n/a	correct
74.4310000000	n/a	n/a	stimulus	299	234005.jpg	animal_distractor
74.7300000000	n/a	n/a	response	n/a	n/a	incorrect
76.3810000000	n/a	n/a	stimulus	542	6043.jpg	animal_target
76.9230000000	n/a	n/a	response	n/a	n/a	correct
78.5020000000	n/a	n/a	stimulus	n/a	102043.jpg	animal_distractor
80.3830000000	n/a	n/a	stimulus	444	104009.jpg	animal_target
80.8270000000	n/a	n/a	response	n/a	n/a	correct
82.2660000000	n/a	n/a	stimulus	310	49015.jpg	animal_target
82.5760000000	n/a	n/a	response	n/a	n/a	correct
84.1660000000	n/a	n/a	stimulus	300	163070.jpg	animal_target
84.4660000000	n/a	n/a	response	n/a	n/a	correct
86.1450000000	n/a	n/a	stimulus	n/a	83015.jpg	animal_distractor
88.2900000000	n/a	n/a	stimulus	286	104049.jpg	animal_target
88.5760000000	n/a	n/a	response	n/a	n/a	correct
90.1820000000	n/a	n/a	stimulus	296	112053.jpg	animal_target
90.4780000000	n/a	n/a	response	n/a	n/a	correct
92.0750000000	n/a	n/a	stimulus	n/a	116029.jpg	animal_distractor
94.1280000000	n/a	n/a	stimulus	n/a	69013.jpg	animal_distractor
96.0410000000	n/a	n/a	stimulus	277	52036.jpg	animal_target
96.3180000000	n/a	n/a	response	n/a	n/a	correct
97.9330000000	n/a	n/a	stimulus	n/a	138067.jpg	animal_distractor
100.1450000000	n/a	n/a	stimulus	277	168076.jpg	animal_target
100.4220000000	n/a	n/a	response	n/a	n/a	correct
102.2970000000	n/a	n/a	stimulus	n/a	116022.jpg	animal_distractor
104.4730000000	n/a	n/a	stimulus	n/a	102081.jpg	animal_distractor
106.5470000000	n/a	n/a	stimulus	283	105055.jpg	animal_target
106.8300000000	n/a	n/a	response	n/a	n/a	correct
108.4410000000	n/a	n/a	stimulus	403	240031.jpg	animal_target
108.8440000000	n/a	n/a	response	n/a	n/a	correct
110.4490000000	n/a	n/a	stimulus	n/a	38014.jpg	animal_distractor
112.4080000000	n/a	n/a	stimulus	409	163072.jpg	animal_target
112.8170000000	n/a	n/a	response	n/a	n/a	correct
114.4330000000	n/a	n/a	stimulus	n/a	158046.jpg	animal_distractor
116.4580000000	n/a	n/a	stimulus	n/a	132015.jpg	animal_distractor
118.5400000000	n/a	n/a	stimulus	n/a	116028.jpg	animal_distractor
120.5380000000	n/a	n/a	stimulus	512	168038.jpg	animal_target
121.0500000000	n/a	n/a	response	n/a	n/a	correct
122.5010000000	n/a	n/a	stimulus	344	216028.jpg	animal_target
122.8450000000	n/a	n/a	response	n/a	n/a	correct
124.5350000000	n/a	n/a	stimulus	n/a	25076.jpg	animal_distractor
126.7080000000	n/a	n/a	stimulus	314	49069.jpg	animal_target
127.0220000000	n/a	n/a	response	n/a	n/a	correct
128.5990000000	n/a	n/a	stimulus	403	110002.jpg	animal_target
129.0020000000	n/a	n/a	response	n/a	n/a	correct
130.5240000000	n/a	n/a	stimulus	270	105071.jpg	animal_target
130.7940000000	n/a	n/a	response	n/a	n/a	correct
132.5930000000	n/a	n/a	stimulus	347	105038.jpg	animal_target
132.9400000000	n/a	n/a	response	n/a	n/a	correct
134.7490000000	n/a	n/a	stimulus	480	173051.jpg	animal_target
135.2290000000	n/a	n/a	response	n/a	n/a	correct
136.5890000000	n/a	n/a	stimulus	n/a	151079.jpg	animal_distractor
138.7690000000	n/a	n/a	stimulus	327	104010.jpg	animal_target
