onset	duration	sample	trial_type	response_time	stim_file	value
2.4630000000	n/a	n/a	stimulus	n/a	267011.jpg	difficult_distractor
4.2920000000	n/a	n/a	stimulus	n/a	143016.jpg	difficult_distractor
6.2490000000	n/a	n/a	stimulus	n/a	83097.jpg	difficult_distractor
8.0800000000	n/a	n/a	stimulus	n/a	297069.jpg	difficult_distractor
10.1650000000	n/a	n/a	stimulus	n/a	334085.jpg	difficult_distractor
12.0690000000	n/a	n/a	stimulus	n/a	61029.jpg	difficult_distractor
14.1600000000	n/a	n/a	stimulus	490	240053.jpg	difficult_target
14.6500000000	n/a	n/a	response	n/a	n/a	correct
16.0050000000	n/a	n/a	stimulus	341	240053.jpg	difficult_target
16.3460000000	n/a	n/a	response	n/a	n/a	correct
18.1240000000	n/a	n/a	stimulus	n/a	98029.jpg	difficult_distractor
20.0470000000	n/a	n/a	stimulus	406	240053.jpg	difficult_target
20.4530000000	n/a	n/a	response	n/a	n/a	correct
21.8940000000	n/a	n/a	stimulus	390	240053.jpg	difficult_target
22.2840000000	n/a	n/a	response	n/a	n/a	correct
23.7380000000	n/a	n/a	stimulus	342	240053.jpg	difficult_target
24.0800000000	n/a	n/a	response	n/a	n/a	correct
25.7170000000	n/a	n/a	stimulus	n/a	138024.jpg	difficult_distractor
27.7160000000	n/a	n/a	stimulus	393	240053.jpg	difficult_target
28.1090000000	n/a	n/a	response	n/a	n/a	correct
29.6460000000	n/a	n/a	stimulus	367	240053.jpg	difficult_target
30.0130000000	n/a	n/a	response	n/a	n/a	correct
31.5610000000	n/a	n/a	stimulus	439	240053.jpg	difficult_target
32.0000000000	n/a	n/a	response	n/a	n/a	correct
33.4930000000	n/a	n/a	stimulus	519	240053.jpg	difficult_target
34.0120000000	n/a	n/a	response	n/a	n/a	correct
35.3100000000	n/a	n/a	stimulus	n/a	111058.jpg	difficult_distractor
37.3130000000	n/a	n/a	stimulus	n/a	172094.jpg	difficult_distractor
39.3830000000	n/a	n/a	stimulus	436	240053.jpg	difficult_target
39.8190000000	n/a	n/a	response	n/a	n/a	correct
41.3630000000	n/a	n/a	stimulus	308	240053.jpg	difficult_target
41.6710000000	n/a	n/a	response	n/a	n/a	correct
43.5680000000	n/a	n/a	stimulus	n/a	285032.jpg	difficult_distractor
45.3960000000	n/a	n/a	stimulus	n/a	36196.jpg	difficult_distractor
47.3080000000	n/a	n/a	stimulus	411	240053.jpg	difficult_target
47.7190000000	n/a	n/a	response	n/a	n/a	correct
49.3810000000	n/a	n/a	stimulus	378	240053.jpg	difficult_target
49.7590000000	n/a	n/a	response	n/a	n/a	correct
51.3730000000	n/a	n/a	stimulus	n/a	142019.jpg	difficult_distractor
53.3900000000	n/a	n/a	stimulus	581	240053.jpg	difficult_target
53.9710000000	n/a	n/a	response	n/a	n/a	correct
55.3900000000	n/a	n/a	stimulus	n/a	184001.jpg	difficult_distractor
57.3160000000	n/a	n/a	stimulus	n/a	384009.jpg	difficult_distractor
59.3730000000	n/a	n/a	stimulus	n/a	86075.jpg	difficult_distractor
61.3720000000	n/a	n/a	stimulus	491	240053.jpg	difficult_target
61.8630000000	n/a	n/a	response	n/a	n/a	correct
63.3830000000	n/a	n/a	stimulus	n/a	227016.jpg	difficult_distractor
65.2660000000	n/a	n/a	stimulus	389	240053.jpg	difficult_target
65.6550000000	n/a	n/a	response	n/a	n/a	correct
67.0880000000	n/a	n/a	stimulus	n/a	44021.jpg	difficult_distractor
69.1690000000	n/a	n/a	stimulus	n/a	151031.jpg	difficult_distractor
71.0770000000	n/a	n/a	stimulus	n/a	101086.jpg	difficult_distractor
73.0390000000	n/a	n/a	stimulus	403	240053.jpg	difficult_target
73.4420000000	n/a	n/a	response	n/a	n/a	correct
77.5530000000	n/a	n/a	stimulus	463	240053.jpg	difficult_target
78.0160000000	n/a	n/a	response	n/a	n/a	correct
79.3780000000	n/a	n/a	stimulus	n/a	28046.jpg	difficult_distractor
81.4700000000	n/a	n/a	stimulus	n/a	151072.jpg	difficult_distractor
83.4070000000	n/a	n/a	stimulus	n/a	374096.jpg	difficult_distractor
85.4710000000	n/a	n/a	stimulus	402	240053.jpg	difficult_target
85.8730000000	n/a	n/a	response	n/a	n/a	correct
87.6650000000	n/a	n/a	stimulus	n/a	257041.jpg	difficult_distractor
89.8460000000	n/a	n/a	stimulus	447	240053.jpg	difficult_target
90.2930000000	n/a	n/a	response	n/a	n/a	correct
92.0380000000	n/a	n/a	stimulus	n/a	11022.jpg	difficult_distractor
94.1630000000	n/a	n/a	stimulus	n/a	131034.jpg	difficult_distractor
96.0610000000	n/a	n/a	stimulus	n/a	158072.jpg	difficult_distractor
97.9470000000	n/a	n/a	stimulus	n/a	174021.jpg	difficult_distractor
99.9460000000	n/a	n/a	stimulus	421	240053.jpg	difficult_target
100.3670000000	n/a	n/a	response	n/a	n/a	correct
101.8010000000	n/a	n/a	stimulus	n/a	11081.jpg	difficult_distractor
103.8120000000	n/a	n/a	stimulus	442	240053.jpg	difficult_target
104.2540000000	n/a	n/a	response	n/a	n/a	correct
105.8990000000	n/a	n/a	stimulus	520	240053.jpg	difficult_target
106.4190000000	n/a	n/a	response	n/a	n/a	correct
107.8510000000	n/a	n/a	stimulus	494	240053.jpg	difficult_target
108.3450000000	n/a	n/a	response	n/a	n/a	correct
109.8160000000	n/a	n/a	stimulus	n/a	93012.jpg	difficult_distractor
111.6840000000	n/a	n/a	stimulus	n/a	13038.jpg	difficult_distractor
113.5480000000	n/a	n/a	stimulus	n/a	286002.jpg	difficult_distractor
115.3630000000	n/a	n/a	stimulus	n/a	334056.jpg	difficult_distractor
117.2190000000	n/a	n/a	stimulus	482	240053.jpg	difficult_target
117.7010000000	n/a	n/a	response	n/a	n/a	correct
119.3340000000	n/a	n/a	stimulus	n/a	208087.jpg	difficult_distractor
121.4790000000	n/a	n/a	stimulus	433	240053.jpg	difficult_target
121.9120000000	n/a	n/a	response	n/a	n/a	correct
123.3900000000	n/a	n/a	stimulus	501	240053.jpg	difficult_target
123.8910000000	n/a	n/a	response	n/a	n/a	correct
125.3580000000	n/a	n/a	stimulus	392	240053.jpg	difficult_target
