onset	duration	sample	trial_type	response_time	stim_file	value
2.8240000000	n/a	n/a	stimulus	n/a	98032.jpg	animal_distractor
6.8120000000	n/a	n/a	stimulus	n/a	62074.jpg	animal_distractor
8.7930000000	n/a	n/a	stimulus	309	75040.jpg	animal_target
9.1020000000	n/a	n/a	response	n/a	n/a	correct
10.6770000000	n/a	n/a	stimulus	n/a	121017.jpg	animal_distractor
12.8350000000	n/a	n/a	stimulus	402	104013.jpg	animal_target
13.2370000000	n/a	n/a	response	n/a	n/a	correct
17.0290000000	n/a	n/a	stimulus	n/a	138064.jpg	animal_distractor
18.8840000000	n/a	n/a	stimulus	439	317050.jpg	animal_target
19.3230000000	n/a	n/a	response	n/a	n/a	correct
20.9210000000	n/a	n/a	stimulus	n/a	374086.jpg	animal_distractor
22.7980000000	n/a	n/a	stimulus	303	8163.jpg	animal_target
23.1010000000	n/a	n/a	response	n/a	n/a	correct
24.6370000000	n/a	n/a	stimulus	n/a	13099.jpg	animal_distractor
26.5680000000	n/a	n/a	stimulus	n/a	68084.jpg	animal_distractor
28.4210000000	n/a	n/a	stimulus	335	240067.jpg	animal_target
28.7560000000	n/a	n/a	response	n/a	n/a	correct
30.3610000000	n/a	n/a	stimulus	n/a	67002.jpg	animal_distractor
32.2240000000	n/a	n/a	stimulus	n/a	116043.jpg	animal_distractor
34.3430000000	n/a	n/a	stimulus	365	173003.jpg	animal_target
34.7080000000	n/a	n/a	response	n/a	n/a	correct
36.2630000000	n/a	n/a	stimulus	373	163065.jpg	animal_target
36.6360000000	n/a	n/a	response	n/a	n/a	correct
38.1910000000	n/a	n/a	stimulus	n/a	194042.jpg	animal_distractor
40.2450000000	n/a	n/a	stimulus	408	100021.jpg	animal_target
40.6530000000	n/a	n/a	response	n/a	n/a	correct
42.1140000000	n/a	n/a	stimulus	312	107026.jpg	animal_target
42.4260000000	n/a	n/a	response	n/a	n/a	correct
44.1150000000	n/a	n/a	stimulus	n/a	266000.jpg	animal_distractor
46.2540000000	n/a	n/a	stimulus	n/a	13066.jpg	animal_distractor
48.2870000000	n/a	n/a	stimulus	283	326077.jpg	animal_target
48.5700000000	n/a	n/a	response	n/a	n/a	correct
50.1770000000	n/a	n/a	stimulus	n/a	174085.jpg	animal_target
52.3260000000	n/a	n/a	stimulus	321	108050.jpg	animal_target
52.6470000000	n/a	n/a	response	n/a	n/a	correct
54.4810000000	n/a	n/a	stimulus	n/a	124087.jpg	animal_distractor
56.6760000000	n/a	n/a	stimulus	n/a	111044.jpg	animal_distractor
58.7010000000	n/a	n/a	stimulus	266	268068.jpg	animal_target
58.9670000000	n/a	n/a	response	n/a	n/a	correct
60.7250000000	n/a	n/a	stimulus	484	106061.jpg	animal_target
61.2090000000	n/a	n/a	response	n/a	n/a	correct
62.7180000000	n/a	n/a	stimulus	325	310069.jpg	animal_target
63.0430000000	n/a	n/a	response	n/a	n/a	correct
64.6220000000	n/a	n/a	stimulus	258	66075.jpg	animal_target
64.8800000000	n/a	n/a	response	n/a	n/a	correct
66.8310000000	n/a	n/a	stimulus	478	136040.jpg	animal_target
67.3090000000	n/a	n/a	response	n/a	n/a	correct
68.7760000000	n/a	n/a	stimulus	n/a	138043.jpg	animal_distractor
70.7120000000	n/a	n/a	stimulus	n/a	374021.jpg	animal_distractor
72.6560000000	n/a	n/a	stimulus	n/a	69076.jpg	animal_distractor
74.5200000000	n/a	n/a	stimulus	n/a	19056.jpg	animal_distractor
76.6400000000	n/a	n/a	stimulus	n/a	25040.jpg	animal_distractor
78.7180000000	n/a	n/a	stimulus	n/a	6019.jpg	animal_target
80.6040000000	n/a	n/a	stimulus	n/a	111070.jpg	animal_distractor
82.5860000000	n/a	n/a	stimulus	n/a	124046.jpg	animal_distractor
84.7960000000	n/a	n/a	stimulus	n/a	71041.jpg	animal_distractor
86.6780000000	n/a	n/a	stimulus	310	6052.jpg	animal_target
86.9880000000	n/a	n/a	response	n/a	n/a	correct
88.7070000000	n/a	n/a	stimulus	n/a	56001.jpg	animal_distractor
90.6370000000	n/a	n/a	stimulus	n/a	44076.jpg	animal_distractor
92.4890000000	n/a	n/a	stimulus	432	336014.jpg	animal_target
92.9210000000	n/a	n/a	response	n/a	n/a	correct
94.7000000000	n/a	n/a	stimulus	385	240078.jpg	animal_target
95.0850000000	n/a	n/a	response	n/a	n/a	correct
96.6370000000	n/a	n/a	stimulus	351	173019.jpg	animal_target
96.9880000000	n/a	n/a	response	n/a	n/a	correct
98.7520000000	n/a	n/a	stimulus	236	317083.jpg	animal_target
98.9880000000	n/a	n/a	response	n/a	n/a	correct
100.8510000000	n/a	n/a	stimulus	296	8034.jpg	animal_target
101.1470000000	n/a	n/a	response	n/a	n/a	correct
102.7480000000	n/a	n/a	stimulus	n/a	248054.jpg	animal_distractor
104.9480000000	n/a	n/a	stimulus	350	196040.jpg	animal_target
105.2980000000	n/a	n/a	response	n/a	n/a	correct
106.9970000000	n/a	n/a	stimulus	n/a	32088.jpg	animal_distractor
108.8250000000	n/a	n/a	stimulus	322	378084.jpg	animal_target
