onset	duration	sample	trial_type	response_time	stim_file	value
10.1390000000	n/a	n/a	stimulus	700	384003.jpg	nonanimal_target
10.8390000000	n/a	n/a	response	n/a	n/a	correct
11.9720000000	n/a	n/a	stimulus	n/a	120017.jpg	nonanimal_distractor
13.8960000000	n/a	n/a	stimulus	n/a	208064.jpg	nonanimal_distractor
15.9880000000	n/a	n/a	stimulus	439	384003.jpg	nonanimal_target
16.4270000000	n/a	n/a	response	n/a	n/a	correct
17.8690000000	n/a	n/a	stimulus	801	384003.jpg	nonanimal_target
18.6700000000	n/a	n/a	response	n/a	n/a	correct
19.8120000000	n/a	n/a	stimulus	370	384003.jpg	nonanimal_target
20.1820000000	n/a	n/a	response	n/a	n/a	correct
22.0060000000	n/a	n/a	stimulus	339	384003.jpg	nonanimal_target
22.3450000000	n/a	n/a	response	n/a	n/a	correct
23.9360000000	n/a	n/a	stimulus	363	384003.jpg	nonanimal_target
24.2990000000	n/a	n/a	response	n/a	n/a	correct
26.0100000000	n/a	n/a	stimulus	350	384003.jpg	nonanimal_target
26.3600000000	n/a	n/a	response	n/a	n/a	correct
28.0010000000	n/a	n/a	stimulus	334	384003.jpg	nonanimal_target
28.3350000000	n/a	n/a	response	n/a	n/a	correct
30.2130000000	n/a	n/a	stimulus	n/a	279055.jpg	nonanimal_distractor
32.3280000000	n/a	n/a	stimulus	515	384003.jpg	nonanimal_target
32.8430000000	n/a	n/a	response	n/a	n/a	correct
34.3780000000	n/a	n/a	stimulus	n/a	25097.jpg	nonanimal_distractor
36.3220000000	n/a	n/a	stimulus	505	384003.jpg	nonanimal_target
36.8270000000	n/a	n/a	response	n/a	n/a	correct
38.3760000000	n/a	n/a	stimulus	353	384003.jpg	nonanimal_target
38.7290000000	n/a	n/a	response	n/a	n/a	correct
40.2760000000	n/a	n/a	stimulus	372	384003.jpg	nonanimal_target
40.6480000000	n/a	n/a	response	n/a	n/a	correct
42.2010000000	n/a	n/a	stimulus	656	69073.jpg	nonanimal_distractor
42.8570000000	n/a	n/a	response	n/a	n/a	incorrect
44.3700000000	n/a	n/a	stimulus	n/a	97071.jpg	nonanimal_distractor
46.4230000000	n/a	n/a	stimulus	n/a	102041.jpg	nonanimal_distractor
48.3000000000	n/a	n/a	stimulus	444	384003.jpg	nonanimal_target
48.7440000000	n/a	n/a	response	n/a	n/a	correct
50.4450000000	n/a	n/a	stimulus	496	384003.jpg	nonanimal_target
50.9410000000	n/a	n/a	response	n/a	n/a	correct
52.6150000000	n/a	n/a	stimulus	n/a	56095.jpg	nonanimal_distractor
54.4560000000	n/a	n/a	stimulus	n/a	56002.jpg	nonanimal_distractor
56.5680000000	n/a	n/a	stimulus	338	384003.jpg	nonanimal_target
56.9060000000	n/a	n/a	response	n/a	n/a	correct
58.6710000000	n/a	n/a	stimulus	303	384003.jpg	nonanimal_target
58.9740000000	n/a	n/a	response	n/a	n/a	correct
60.8710000000	n/a	n/a	stimulus	273	384003.jpg	nonanimal_target
61.1440000000	n/a	n/a	response	n/a	n/a	correct
63.0770000000	n/a	n/a	stimulus	297	384003.jpg	nonanimal_target
63.3740000000	n/a	n/a	response	n/a	n/a	correct
64.9300000000	n/a	n/a	stimulus	n/a	138097.jpg	nonanimal_distractor
67.1270000000	n/a	n/a	stimulus	n/a	111002.jpg	nonanimal_distractor
69.3370000000	n/a	n/a	stimulus	n/a	86061.jpg	nonanimal_distractor
71.3850000000	n/a	n/a	stimulus	441	384003.jpg	nonanimal_target
71.8260000000	n/a	n/a	response	n/a	n/a	correct
73.3280000000	n/a	n/a	stimulus	n/a	412008.jpg	nonanimal_distractor
75.4590000000	n/a	n/a	stimulus	n/a	147033.jpg	nonanimal_distractor
77.4620000000	n/a	n/a	stimulus	n/a	279096.jpg	nonanimal_distractor
79.6360000000	n/a	n/a	stimulus	382	384003.jpg	nonanimal_target
80.0180000000	n/a	n/a	response	n/a	n/a	correct
81.7900000000	n/a	n/a	stimulus	n/a	36124.jpg	nonanimal_distractor
83.8000000000	n/a	n/a	stimulus	n/a	132025.jpg	nonanimal_distractor
85.8750000000	n/a	n/a	stimulus	n/a	111026.jpg	nonanimal_distractor
88.0420000000	n/a	n/a	stimulus	555	384003.jpg	nonanimal_target
88.5970000000	n/a	n/a	response	n/a	n/a	correct
90.2380000000	n/a	n/a	stimulus	n/a	217025.jpg	nonanimal_distractor
92.3610000000	n/a	n/a	stimulus	n/a	48023.jpg	nonanimal_distractor
94.5360000000	n/a	n/a	stimulus	472	384003.jpg	nonanimal_target
95.0080000000	n/a	n/a	response	n/a	n/a	correct
96.6670000000	n/a	n/a	stimulus	n/a	25004.jpg	nonanimal_distractor
98.8490000000	n/a	n/a	stimulus	494	384003.jpg	nonanimal_target
99.3430000000	n/a	n/a	response	n/a	n/a	correct
100.9470000000	n/a	n/a	stimulus	444	384003.jpg	nonanimal_target
101.3910000000	n/a	n/a	response	n/a	n/a	correct
102.8520000000	n/a	n/a	stimulus	414	384003.jpg	nonanimal_target
103.2660000000	n/a	n/a	response	n/a	n/a	correct
104.9860000000	n/a	n/a	stimulus	n/a	174006.jpg	nonanimal_distractor
107.0140000000	n/a	n/a	stimulus	n/a	286025.jpg	nonanimal_distractor
108.9020000000	n/a	n/a	stimulus	472	384003.jpg	nonanimal_target
109.3740000000	n/a	n/a	response	n/a	n/a	correct
110.7530000000	n/a	n/a	stimulus	469	384003.jpg	nonanimal_target
111.2220000000	n/a	n/a	response	n/a	n/a	correct
112.7780000000	n/a	n/a	stimulus	462	384003.jpg	nonanimal_target
113.2400000000	n/a	n/a	response	n/a	n/a	correct
114.6560000000	n/a	n/a	stimulus	n/a	38032.jpg	nonanimal_distractor
116.6990000000	n/a	n/a	stimulus	570	384003.jpg	nonanimal_target
117.2690000000	n/a	n/a	response	n/a	n/a	correct
118.6100000000	n/a	n/a	stimulus	570	384003.jpg	nonanimal_target
119.1800000000	n/a	n/a	response	n/a	n/a	correct
120.6350000000	n/a	n/a	stimulus	n/a	194029.jpg	nonanimal_distractor
122.5570000000	n/a	n/a	stimulus	458	384003.jpg	nonanimal_target
123.0150000000	n/a	n/a	response	n/a	n/a	correct
124.4110000000	n/a	n/a	stimulus	516	384003.jpg	nonanimal_target
124.9270000000	n/a	n/a	response	n/a	n/a	correct
126.4880000000	n/a	n/a	stimulus	n/a	142021.jpg	nonanimal_distractor
128.4840000000	n/a	n/a	stimulus	n/a	63090.jpg	nonanimal_distractor
130.5900000000	n/a	n/a	stimulus	n/a	32033.jpg	nonanimal_distractor
132.5870000000	n/a	n/a	stimulus	n/a	121018.jpg	nonanimal_distractor
134.6520000000	n/a	n/a	stimulus	n/a	146040.jpg	nonanimal_distractor
136.6270000000	n/a	n/a	stimulus	424	384003.jpg	nonanimal_target
137.0510000000	n/a	n/a	response	n/a	n/a	correct
138.8180000000	n/a	n/a	stimulus	391	384003.jpg	nonanimal_target
139.2090000000	n/a	n/a	response	n/a	n/a	correct
140.7650000000	n/a	n/a	stimulus	399	384003.jpg	nonanimal_target
141.1640000000	n/a	n/a	response	n/a	n/a	correct
142.9560000000	n/a	n/a	stimulus	n/a	131097.jpg	nonanimal_distractor
144.8530000000	n/a	n/a	stimulus	n/a	56017.jpg	nonanimal_distractor
146.9950000000	n/a	n/a	stimulus	n/a	13070.jpg	nonanimal_distractor
148.8370000000	n/a	n/a	stimulus	n/a	82018.jpg	nonanimal_distractor
150.6960000000	n/a	n/a	stimulus	429	384003.jpg	nonanimal_target
151.1250000000	n/a	n/a	response	n/a	n/a	correct
152.6440000000	n/a	n/a	stimulus	n/a	76067.jpg	nonanimal_distractor
154.8270000000	n/a	n/a	stimulus	n/a	384087.jpg	nonanimal_distractor
156.9100000000	n/a	n/a	stimulus	446	384003.jpg	nonanimal_target
157.3560000000	n/a	n/a	response	n/a	n/a	correct
158.9460000000	n/a	n/a	stimulus	365	384003.jpg	nonanimal_target
159.3110000000	n/a	n/a	response	n/a	n/a	correct
160.8490000000	n/a	n/a	stimulus	n/a	142036.jpg	nonanimal_distractor
