onset	duration	sample	trial_type	response_time	stim_file	value
2.3410000000	n/a	n/a	stimulus	n/a	35148.jpg	animal_target
4.3750000000	n/a	n/a	stimulus	n/a	32095.jpg	animal_distractor
6.4070000000	n/a	n/a	stimulus	n/a	13035.jpg	animal_distractor
8.5480000000	n/a	n/a	stimulus	480	196040.jpg	animal_target
9.0280000000	n/a	n/a	response	n/a	n/a	correct
10.3720000000	n/a	n/a	stimulus	306	173027.jpg	animal_target
10.6780000000	n/a	n/a	response	n/a	n/a	correct
12.5790000000	n/a	n/a	stimulus	301	310069.jpg	animal_target
12.8800000000	n/a	n/a	response	n/a	n/a	correct
14.4340000000	n/a	n/a	stimulus	443	19033.jpg	animal_target
14.8770000000	n/a	n/a	response	n/a	n/a	correct
16.3610000000	n/a	n/a	stimulus	413	268068.jpg	animal_target
16.7740000000	n/a	n/a	response	n/a	n/a	correct
18.2070000000	n/a	n/a	stimulus	n/a	174085.jpg	animal_target
20.2380000000	n/a	n/a	stimulus	338	188088.jpg	animal_target
20.5760000000	n/a	n/a	response	n/a	n/a	correct
22.1230000000	n/a	n/a	stimulus	489	307036.jpg	animal_target
22.6120000000	n/a	n/a	response	n/a	n/a	correct
23.9390000000	n/a	n/a	stimulus	n/a	44076.jpg	animal_distractor
25.8240000000	n/a	n/a	stimulus	n/a	138042.jpg	animal_distractor
27.9900000000	n/a	n/a	stimulus	n/a	68084.jpg	animal_distractor
30.0810000000	n/a	n/a	stimulus	404	240067.jpg	animal_target
30.4850000000	n/a	n/a	response	n/a	n/a	correct
32.0700000000	n/a	n/a	stimulus	n/a	138043.jpg	animal_distractor
34.0670000000	n/a	n/a	stimulus	316	104013.jpg	animal_target
34.3830000000	n/a	n/a	response	n/a	n/a	correct
35.9590000000	n/a	n/a	stimulus	n/a	124046.jpg	animal_distractor
38.0940000000	n/a	n/a	stimulus	n/a	86037.jpg	animal_distractor
39.9500000000	n/a	n/a	stimulus	321	173019.jpg	animal_target
40.2710000000	n/a	n/a	response	n/a	n/a	correct
41.8120000000	n/a	n/a	stimulus	418	253014.jpg	animal_target
42.2300000000	n/a	n/a	response	n/a	n/a	correct
43.9020000000	n/a	n/a	stimulus	409	185033.jpg	animal_target
44.3110000000	n/a	n/a	response	n/a	n/a	correct
45.9330000000	n/a	n/a	stimulus	n/a	25040.jpg	animal_distractor
48.0550000000	n/a	n/a	stimulus	390	336014.jpg	animal_target
48.4450000000	n/a	n/a	response	n/a	n/a	correct
50.1300000000	n/a	n/a	stimulus	447	71041.jpg	animal_distractor
50.5770000000	n/a	n/a	response	n/a	n/a	incorrect
52.0480000000	n/a	n/a	stimulus	489	41091.jpg	animal_target
52.5370000000	n/a	n/a	response	n/a	n/a	correct
