stage,roi,condition,trial_index,amp_uV,peak_latency_ms
After ICA,Frontal ROI,familiar,87,-16.736347230576285,449.0
After ICA,Frontal ROI,familiar,88,-26.33595108257639,494.0
After ICA,Frontal ROI,familiar,89,-3.5215081090598837,313.0
After ICA,Frontal ROI,familiar,90,6.863230385657285,357.0
After ICA,Frontal ROI,familiar,91,-9.19074809882528,442.0
After ICA,Frontal ROI,familiar,92,-21.07028372892007,500.0
After ICA,Frontal ROI,familiar,93,-9.492926561244998,351.0
After ICA,Frontal ROI,familiar,94,-0.2931771216555657,347.0
After ICA,Frontal ROI,familiar,95,-0.5562901705649196,497.0
After ICA,Frontal ROI,familiar,96,3.655780053884662,318.0
After ICA,Frontal ROI,familiar,97,9.325412893831217,477.0
After ICA,Frontal ROI,familiar,98,-8.405208322669063,326.0
After ICA,Frontal ROI,familiar,99,13.929855278388775,354.0
After ICA,Frontal ROI,familiar,100,-5.07419191022784,300.0
After ICA,Frontal ROI,familiar,101,9.565062649334964,356.0
After ICA,Frontal ROI,familiar,102,2.511970266450658,495.0
After ICA,Frontal ROI,familiar,103,17.54897789848748,395.0
After ICA,Frontal ROI,familiar,104,37.628088018635374,500.0
After ICA,Frontal ROI,familiar,105,-2.7744245040016624,490.0
After ICA,Frontal ROI,familiar,106,-0.5981201922423045,379.0
After ICA,Frontal ROI,familiar,107,-20.337452235065548,300.0
After ICA,Frontal ROI,familiar,108,-22.048547334719167,349.0
After ICA,Frontal ROI,familiar,109,12.171513900944667,441.0
After ICA,Frontal ROI,familiar,110,-9.959237609682106,317.0
After ICA,Frontal ROI,familiar,111,2.7808526599582084,452.0
After ICA,Frontal ROI,familiar,112,3.943182588482477,416.0
After ICA,Frontal ROI,familiar,113,14.009037574563953,424.0
After ICA,Frontal ROI,familiar,114,-6.224660927935731,493.0
After ICA,Frontal ROI,familiar,115,-2.7480673633487216,345.0
After ICA,Frontal ROI,familiar,116,-6.487667109951087,436.0
After ICA,Frontal ROI,familiar,117,2.7982452200809416,404.0
After ICA,Frontal ROI,familiar,118,6.214538610192232,367.0
After ICA,Frontal ROI,familiar,119,9.870775820853117,467.0
