session,roi,sme_f_before_uV,sme_n_before_uV,sme_f_after_uV,sme_n_after_uV,cohens_d_before,cohens_d_after,jitter_f_before_ms,jitter_f_after_ms,jitter_n_before_ms,jitter_n_after_ms,roi_channels_before,roi_channels_after
ses-01,Frontal ROI,0.43820481069168454,0.4744674547459079,0.2240669001677616,0.24078097696055611,-0.017620936547466385,-0.08705453324754384,66.73339895058845,63.33275201123266,58.58790497988848,63.928539551740286,"F3,FZ,F4","F3,FZ,F4"
ses-01,Parieto-occipital ROI,0.3217413985247265,0.3695433266866943,0.3345256446607,0.34961454027871686,0.46156403921817535,0.13291155095332946,45.59299366647141,66.14302721044979,44.73595021008807,63.024261421125075,"P3,PZ,P4","P3,PZ,P4"
ses-02,Frontal ROI,0.45377689647392266,0.47475300506681034,0.5045338219803196,0.4347798187131415,0.02338077394825121,-0.06825912118583088,66.46923623458711,64.4571003285779,58.933645850603,65.11384940079387,"F3,FZ,F4","F3,FZ,F4"
ses-02,Parieto-occipital ROI,0.33291935349157975,0.36744475108196534,0.35092244995194577,0.3556221522121979,0.4401629141832791,-0.04099867406882507,45.27667791042471,64.72738579256051,43.782911494076814,63.56624671758966,"P3,PZ,P4","P3,PZ,P4"
