stage,roi,condition,trial_index,amp_uV,peak_latency_ms
Before ICA,Frontal ROI,familiar,96,-2.5049258943103583,314.0
Before ICA,Frontal ROI,familiar,97,-4.520270842313981,303.0
Before ICA,Frontal ROI,familiar,98,-12.37217049439637,449.0
Before ICA,Frontal ROI,familiar,99,4.171105839000884,465.0
Before ICA,Frontal ROI,familiar,100,26.686650979484686,500.0
Before ICA,Frontal ROI,familiar,101,-11.097420454806931,490.0
Before ICA,Frontal ROI,familiar,102,-7.177176590143231,442.0
Before ICA,Frontal ROI,familiar,103,-17.65521976121777,315.0
Before ICA,Frontal ROI,familiar,104,-0.6161523328269757,365.0
Before ICA,Frontal ROI,familiar,105,-5.2865681520774,500.0
Before ICA,Frontal ROI,familiar,106,3.223492164927097,340.0
Before ICA,Frontal ROI,familiar,107,5.587119592177648,470.0
Before ICA,Frontal ROI,familiar,108,-7.22341119272045,300.0
Before ICA,Frontal ROI,familiar,109,-14.053848268492377,464.0
Before ICA,Frontal ROI,familiar,110,-0.8980380181565668,474.0
Before ICA,Frontal ROI,familiar,111,-0.7719623332544727,474.0
Before ICA,Frontal ROI,familiar,112,-11.97714441725878,402.0
Before ICA,Frontal ROI,familiar,113,-5.091543309446721,399.0
Before ICA,Frontal ROI,familiar,114,7.303031707597241,453.0
Before ICA,Frontal ROI,familiar,115,6.849890842043607,445.0
Before ICA,Frontal ROI,familiar,116,-6.656078506414528,386.0
Before ICA,Frontal ROI,familiar,117,-11.428425250825159,351.0
Before ICA,Frontal ROI,familiar,118,-8.784981930440345,387.0
Before ICA,Frontal ROI,familiar,119,6.505738414417961,500.0
Before ICA,Frontal ROI,familiar,120,-8.078652708217973,308.0
Before ICA,Frontal ROI,familiar,121,-12.037067981715326,500.0
Before ICA,Frontal ROI,familiar,122,11.093122993874479,490.0
Before ICA,Frontal ROI,familiar,123,6.0257958425867795,359.0
Before ICA,Frontal ROI,familiar,124,-0.16789539859931374,300.0
Before ICA,Frontal ROI,familiar,125,15.299844529576145,485.0
Before ICA,Frontal ROI,familiar,126,-26.125825099596288,457.0
Before ICA,Frontal ROI,familiar,127,9.800090396612829,345.0
Before ICA,Frontal ROI,familiar,128,-8.298917894048996,500.0
Before ICA,Frontal ROI,familiar,129,-10.98022545443931,334.0
Before ICA,Frontal ROI,familiar,130,-1.3262067975602327,407.0
Before ICA,Frontal ROI,familiar,131,1.8532764903364822,468.0
Before ICA,Frontal ROI,familiar,132,-9.621087269635805,468.0
Before ICA,Frontal ROI,familiar,133,4.070784934057376,456.0
Before ICA,Frontal ROI,familiar,134,-7.075327982112861,497.0
Before ICA,Frontal ROI,familiar,135,-23.127874043133765,483.0
Before ICA,Frontal ROI,familiar,136,5.321107359912877,500.0
Before ICA,Frontal ROI,familiar,137,-11.831547513119226,370.0
Before ICA,Frontal ROI,familiar,138,-1.4879453689871023,410.0
Before ICA,Frontal ROI,familiar,139,-19.940828583839323,361.0
Before ICA,Frontal ROI,familiar,140,-0.7085869212507885,498.0
Before ICA,Frontal ROI,familiar,141,20.260319226046963,445.0
Before ICA,Frontal ROI,familiar,142,-23.212444346763796,489.0
Before ICA,Frontal ROI,familiar,143,-1.0651834273018184,481.0
Before ICA,Frontal ROI,familiar,144,-21.73199123813039,488.0
Before ICA,Frontal ROI,familiar,145,-18.258087629233938,465.0
Before ICA,Frontal ROI,familiar,146,4.5531932273723905,300.0
Before ICA,Frontal ROI,familiar,147,-12.78444222763239,500.0
Before ICA,Frontal ROI,familiar,148,-8.019429086571124,384.0
Before ICA,Frontal ROI,familiar,149,0.6472912822534601,449.0
Before ICA,Frontal ROI,familiar,150,-6.132762786678684,325.0
Before ICA,Frontal ROI,familiar,151,-10.033832398040525,338.0
Before ICA,Frontal ROI,familiar,152,-19.97536728554654,404.0
Before ICA,Frontal ROI,familiar,153,1.1323787738501232,374.0
