stage,roi,condition,trial_index,amp_uV,peak_latency_ms
Before ICA,Parieto-occipital ROI,familiar,76,7.472097894552754,303.0
Before ICA,Parieto-occipital ROI,familiar,77,0.7729633932493593,392.0
Before ICA,Parieto-occipital ROI,familiar,78,3.6658196847464737,300.0
Before ICA,Parieto-occipital ROI,familiar,79,7.462044186353932,340.0
Before ICA,Parieto-occipital ROI,familiar,80,3.6047485367337733,328.0
Before ICA,Parieto-occipital ROI,familiar,81,9.261274463383808,362.0
Before ICA,Parieto-occipital ROI,familiar,82,12.82472840491542,372.0
Before ICA,Parieto-occipital ROI,familiar,83,11.531422038423027,359.0
Before ICA,Parieto-occipital ROI,familiar,84,13.816235097404975,314.0
Before ICA,Parieto-occipital ROI,familiar,85,15.424764847890856,374.0
Before ICA,Parieto-occipital ROI,familiar,86,2.4211631185826294,308.0
Before ICA,Parieto-occipital ROI,familiar,87,2.535420468405631,339.0
Before ICA,Parieto-occipital ROI,familiar,88,3.387078293563908,309.0
Before ICA,Parieto-occipital ROI,familiar,89,-6.863429135831964,317.0
Before ICA,Parieto-occipital ROI,familiar,90,22.286993183312273,418.0
Before ICA,Parieto-occipital ROI,familiar,91,5.308717271979808,319.0
Before ICA,Parieto-occipital ROI,familiar,92,-5.612448228577743,337.0
Before ICA,Parieto-occipital ROI,familiar,93,8.052559129406536,353.0
Before ICA,Parieto-occipital ROI,familiar,94,13.609391387564063,422.0
Before ICA,Parieto-occipital ROI,familiar,95,12.392398313860442,363.0
Before ICA,Parieto-occipital ROI,familiar,96,8.214933924458954,358.0
Before ICA,Parieto-occipital ROI,familiar,97,11.049018706561426,332.0
Before ICA,Parieto-occipital ROI,familiar,98,11.90485083914638,303.0
Before ICA,Parieto-occipital ROI,familiar,99,-0.0068681173650111255,300.0
Before ICA,Parieto-occipital ROI,familiar,100,42.955203455289556,486.0
Before ICA,Parieto-occipital ROI,familiar,101,9.606153702862228,361.0
Before ICA,Parieto-occipital ROI,familiar,102,2.223809224970026,333.0
Before ICA,Parieto-occipital ROI,familiar,103,11.308285846606463,314.0
Before ICA,Parieto-occipital ROI,familiar,104,9.843752301102654,352.0
Before ICA,Parieto-occipital ROI,familiar,105,12.801024968907662,345.0
Before ICA,Parieto-occipital ROI,familiar,106,8.644801652410331,385.0
Before ICA,Parieto-occipital ROI,familiar,107,11.79182679688315,369.0
Before ICA,Parieto-occipital ROI,familiar,108,16.945602546552145,323.0
Before ICA,Parieto-occipital ROI,familiar,109,8.256802040645153,394.0
Before ICA,Parieto-occipital ROI,familiar,110,9.393466620308383,324.0
Before ICA,Parieto-occipital ROI,familiar,111,-0.13164154760305768,348.0
Before ICA,Parieto-occipital ROI,familiar,112,18.257834282516814,379.0
Before ICA,Parieto-occipital ROI,familiar,113,18.990386900525255,404.0
Before ICA,Parieto-occipital ROI,familiar,114,-3.1519717703384784,394.0
Before ICA,Parieto-occipital ROI,familiar,115,3.284633248192831,335.0
Before ICA,Parieto-occipital ROI,familiar,116,15.579909548760087,376.0
Before ICA,Parieto-occipital ROI,familiar,117,6.331432594432031,352.0
Before ICA,Parieto-occipital ROI,familiar,118,15.653081355743073,336.0
Before ICA,Parieto-occipital ROI,familiar,119,3.3601037586477784,397.0
Before ICA,Parieto-occipital ROI,familiar,120,9.03766249895439,338.0
Before ICA,Parieto-occipital ROI,familiar,121,19.251205053373702,340.0
Before ICA,Parieto-occipital ROI,familiar,122,7.729674175303413,319.0
Before ICA,Parieto-occipital ROI,familiar,123,11.31602737379942,309.0
Before ICA,Parieto-occipital ROI,familiar,124,10.365094263977442,434.0
Before ICA,Parieto-occipital ROI,familiar,125,23.66589994406612,356.0
Before ICA,Parieto-occipital ROI,familiar,126,-14.861428189976506,307.0
Before ICA,Parieto-occipital ROI,familiar,127,10.932045247803378,368.0
Before ICA,Parieto-occipital ROI,familiar,128,9.696538825379008,379.0
Before ICA,Parieto-occipital ROI,familiar,129,19.54353007779518,419.0
Before ICA,Parieto-occipital ROI,familiar,130,2.821709933418682,374.0
Before ICA,Parieto-occipital ROI,familiar,131,2.694277549399865,300.0
Before ICA,Parieto-occipital ROI,familiar,132,13.064633560692126,333.0
Before ICA,Parieto-occipital ROI,familiar,133,0.1976702333061266,364.0
Before ICA,Parieto-occipital ROI,familiar,134,1.2396760898021464,393.0
Before ICA,Parieto-occipital ROI,familiar,135,23.904757843818903,360.0
