stage,roi,condition,trial_index,amp_uV,peak_latency_ms
After ICA,Parieto-occipital ROI,familiar,88,12.750314622967805,321.0
After ICA,Parieto-occipital ROI,familiar,89,-12.194476369536307,334.0
After ICA,Parieto-occipital ROI,familiar,90,-11.330120243436703,300.0
After ICA,Parieto-occipital ROI,familiar,91,1.226537457318214,397.0
After ICA,Parieto-occipital ROI,familiar,92,4.95570194856663,441.0
After ICA,Parieto-occipital ROI,familiar,93,1.4246890561742713,305.0
After ICA,Parieto-occipital ROI,familiar,94,4.832442669718296,390.0
After ICA,Parieto-occipital ROI,familiar,95,-5.95221051832138,344.0
After ICA,Parieto-occipital ROI,familiar,96,-14.010086747040475,431.0
After ICA,Parieto-occipital ROI,familiar,97,-21.687845096443816,402.0
After ICA,Parieto-occipital ROI,familiar,98,0.25027142155273296,440.0
After ICA,Parieto-occipital ROI,familiar,99,2.5019612007962126,309.0
After ICA,Parieto-occipital ROI,familiar,100,-2.4127480355653463,411.0
After ICA,Parieto-occipital ROI,familiar,101,-2.5676739803304356,413.0
After ICA,Parieto-occipital ROI,familiar,102,-13.10073381277066,309.0
After ICA,Parieto-occipital ROI,familiar,103,-17.489619755905565,472.0
After ICA,Parieto-occipital ROI,familiar,104,-2.442575991875195,347.0
After ICA,Parieto-occipital ROI,familiar,105,-4.584949079210604,336.0
After ICA,Parieto-occipital ROI,familiar,106,6.328848350632902,385.0
After ICA,Parieto-occipital ROI,familiar,107,-0.5430035476437757,347.0
After ICA,Parieto-occipital ROI,familiar,108,10.303984987338097,364.0
After ICA,Parieto-occipital ROI,familiar,109,-2.0088657753460533,353.0
After ICA,Parieto-occipital ROI,familiar,110,-15.234647311702679,352.0
After ICA,Parieto-occipital ROI,familiar,111,-12.823825222807585,309.0
After ICA,Parieto-occipital ROI,familiar,112,-10.775631448515202,339.0
After ICA,Parieto-occipital ROI,familiar,113,-21.308566581037727,302.0
After ICA,Parieto-occipital ROI,familiar,114,-4.849385406046995,319.0
After ICA,Parieto-occipital ROI,familiar,115,1.3476825573073097,468.0
After ICA,Parieto-occipital ROI,familiar,116,-5.1773634488837805,471.0
