onset	duration	sample	trial_type	response_time	stim_file	value
9.2790000000	n/a	n/a	stimulus	510	187050.jpg	animal_target
9.7890000000	n/a	n/a	response	n/a	n/a	correct
11.0810000000	n/a	n/a	stimulus	486	163068.jpg	animal_target
11.5670000000	n/a	n/a	response	n/a	n/a	correct
12.8990000000	n/a	n/a	stimulus	353	8187.jpg	animal_target
13.2520000000	n/a	n/a	response	n/a	n/a	correct
15.0450000000	n/a	n/a	stimulus	n/a	65137.jpg	animal_distractor
16.9310000000	n/a	n/a	stimulus	n/a	136066.jpg	animal_target
18.8420000000	n/a	n/a	stimulus	n/a	374075.jpg	animal_distractor
20.9120000000	n/a	n/a	stimulus	n/a	166063.jpg	animal_distractor
22.8600000000	n/a	n/a	stimulus	n/a	32097.jpg	animal_distractor
24.7480000000	n/a	n/a	stimulus	n/a	318079.jpg	animal_distractor
26.7210000000	n/a	n/a	stimulus	636	210000.jpg	animal_target
27.3570000000	n/a	n/a	response	n/a	n/a	correct
28.7150000000	n/a	n/a	stimulus	498	6054.jpg	animal_target
29.2130000000	n/a	n/a	response	n/a	n/a	correct
30.5690000000	n/a	n/a	stimulus	458	6015.jpg	animal_target
31.0270000000	n/a	n/a	response	n/a	n/a	correct
32.5830000000	n/a	n/a	stimulus	452	6041.jpg	animal_target
33.0350000000	n/a	n/a	response	n/a	n/a	correct
34.4520000000	n/a	n/a	stimulus	n/a	279014.jpg	animal_distractor
36.6160000000	n/a	n/a	stimulus	n/a	116050.jpg	animal_distractor
38.4590000000	n/a	n/a	stimulus	489	8146.jpg	animal_target
38.9480000000	n/a	n/a	response	n/a	n/a	correct
40.3900000000	n/a	n/a	stimulus	n/a	297037.jpg	animal_distractor
42.5660000000	n/a	n/a	stimulus	n/a	27042.jpg	animal_distractor
44.5230000000	n/a	n/a	stimulus	614	168025.jpg	animal_target
45.1370000000	n/a	n/a	response	n/a	n/a	correct
46.6460000000	n/a	n/a	stimulus	n/a	138054.jpg	animal_distractor
48.5870000000	n/a	n/a	stimulus	429	268065.jpg	animal_target
49.0160000000	n/a	n/a	response	n/a	n/a	correct
57.9470000000	n/a	n/a	stimulus	439	183015.jpg	animal_target
58.3860000000	n/a	n/a	response	n/a	n/a	correct
60.0940000000	n/a	n/a	stimulus	394	108094.jpg	animal_target
60.4880000000	n/a	n/a	response	n/a	n/a	correct
62.1920000000	n/a	n/a	stimulus	n/a	98084.jpg	animal_distractor
64.1280000000	n/a	n/a	stimulus	560	103081.jpg	animal_target
64.6880000000	n/a	n/a	response	n/a	n/a	correct
66.0060000000	n/a	n/a	stimulus	552	289005.jpg	animal_target
66.5580000000	n/a	n/a	response	n/a	n/a	correct
67.9470000000	n/a	n/a	stimulus	429	100055.jpg	animal_target
68.3760000000	n/a	n/a	response	n/a	n/a	correct
69.9440000000	n/a	n/a	stimulus	400	173014.jpg	animal_target
70.3440000000	n/a	n/a	response	n/a	n/a	correct
71.8520000000	n/a	n/a	stimulus	367	210048.jpg	animal_target
72.2190000000	n/a	n/a	response	n/a	n/a	correct
73.9950000000	n/a	n/a	stimulus	377	317026.jpg	animal_target
74.3720000000	n/a	n/a	response	n/a	n/a	correct
75.9170000000	n/a	n/a	stimulus	n/a	86018.jpg	animal_distractor
77.9230000000	n/a	n/a	stimulus	430	35096.jpg	animal_target
78.3530000000	n/a	n/a	response	n/a	n/a	correct
79.7920000000	n/a	n/a	stimulus	732	141090.jpg	animal_target
80.5240000000	n/a	n/a	response	n/a	n/a	correct
81.9540000000	n/a	n/a	stimulus	432	6010.jpg	animal_target
82.3860000000	n/a	n/a	response	n/a	n/a	correct
