onset	duration	sample	trial_type	response_time	stim_file	value
7.5010000000	n/a	n/a	stimulus	439	311064.jpg	animal_target
7.9400000000	n/a	n/a	response	n/a	n/a	correct
9.3610000000	n/a	n/a	stimulus	n/a	126006.jpg	animal_distractor
11.4940000000	n/a	n/a	stimulus	425	310011.jpg	animal_target
11.9190000000	n/a	n/a	response	n/a	n/a	correct
13.5720000000	n/a	n/a	stimulus	445	268075.jpg	animal_target
14.0170000000	n/a	n/a	response	n/a	n/a	correct
15.7370000000	n/a	n/a	stimulus	385	317091.jpg	animal_target
16.1220000000	n/a	n/a	response	n/a	n/a	correct
17.8690000000	n/a	n/a	stimulus	304	87029.jpg	animal_target
18.1730000000	n/a	n/a	response	n/a	n/a	correct
19.9930000000	n/a	n/a	stimulus	424	317009.jpg	animal_target
20.4170000000	n/a	n/a	response	n/a	n/a	correct
22.0580000000	n/a	n/a	stimulus	319	109010.jpg	animal_target
22.3770000000	n/a	n/a	response	n/a	n/a	correct
24.2590000000	n/a	n/a	stimulus	n/a	67026.jpg	animal_distractor
26.2310000000	n/a	n/a	stimulus	n/a	13049.jpg	animal_distractor
28.1340000000	n/a	n/a	stimulus	n/a	116008.jpg	animal_distractor
30.3310000000	n/a	n/a	stimulus	n/a	374083.jpg	animal_distractor
32.4460000000	n/a	n/a	stimulus	n/a	22023.jpg	animal_distractor
34.6250000000	n/a	n/a	stimulus	n/a	44001.jpg	animal_distractor
36.5160000000	n/a	n/a	stimulus	n/a	340008.jpg	animal_distractor
38.5310000000	n/a	n/a	stimulus	412	289025.jpg	animal_target
38.9430000000	n/a	n/a	response	n/a	n/a	correct
40.4990000000	n/a	n/a	stimulus	387	326032.jpg	animal_target
40.8860000000	n/a	n/a	response	n/a	n/a	correct
42.6950000000	n/a	n/a	stimulus	356	304083.jpg	animal_target
43.0510000000	n/a	n/a	response	n/a	n/a	correct
44.6990000000	n/a	n/a	stimulus	n/a	86062.jpg	animal_distractor
46.5560000000	n/a	n/a	stimulus	397	108062.jpg	animal_target
46.9530000000	n/a	n/a	response	n/a	n/a	correct
48.7580000000	n/a	n/a	stimulus	n/a	13094.jpg	animal_distractor
50.6030000000	n/a	n/a	stimulus	n/a	248065.jpg	animal_distractor
52.6370000000	n/a	n/a	stimulus	n/a	2074.jpg	animal_distractor
54.8000000000	n/a	n/a	stimulus	345	43005.jpg	animal_target
55.1450000000	n/a	n/a	response	n/a	n/a	correct
56.9600000000	n/a	n/a	stimulus	319	87054.jpg	animal_target
57.2790000000	n/a	n/a	response	n/a	n/a	correct
59.0060000000	n/a	n/a	stimulus	304	289055.jpg	animal_target
59.3100000000	n/a	n/a	response	n/a	n/a	correct
61.1580000000	n/a	n/a	stimulus	308	71053.jpg	animal_target
61.4660000000	n/a	n/a	response	n/a	n/a	correct
63.0250000000	n/a	n/a	stimulus	378	52024.jpg	animal_target
63.4030000000	n/a	n/a	response	n/a	n/a	correct
64.8870000000	n/a	n/a	stimulus	n/a	374089.jpg	animal_distractor
66.9410000000	n/a	n/a	stimulus	n/a	194074.jpg	animal_distractor
68.8580000000	n/a	n/a	stimulus	n/a	297052.jpg	animal_distractor
70.7270000000	n/a	n/a	stimulus	334	253037.jpg	animal_target
71.0610000000	n/a	n/a	response	n/a	n/a	correct
72.5400000000	n/a	n/a	stimulus	n/a	184040.jpg	animal_distractor
74.5390000000	n/a	n/a	stimulus	n/a	121045.jpg	animal_distractor
76.4160000000	n/a	n/a	stimulus	337	8015.jpg	animal_target
76.7530000000	n/a	n/a	response	n/a	n/a	correct
78.3130000000	n/a	n/a	stimulus	n/a	317058.jpg	animal_target
80.5080000000	n/a	n/a	stimulus	n/a	132041.jpg	animal_distractor
82.5890000000	n/a	n/a	stimulus	332	6017.jpg	animal_target
82.9210000000	n/a	n/a	response	n/a	n/a	correct
84.5770000000	n/a	n/a	stimulus	309	247036.jpg	animal_target
84.8860000000	n/a	n/a	response	n/a	n/a	correct
86.6960000000	n/a	n/a	stimulus	421	71036.jpg	animal_target
87.1170000000	n/a	n/a	response	n/a	n/a	correct
88.7650000000	n/a	n/a	stimulus	n/a	144054.jpg	animal_distractor
90.9680000000	n/a	n/a	stimulus	n/a	131076.jpg	animal_distractor
92.8810000000	n/a	n/a	stimulus	348	187089.jpg	animal_target
93.2290000000	n/a	n/a	response	n/a	n/a	correct
94.7010000000	n/a	n/a	stimulus	371	168014.jpg	animal_target
95.0720000000	n/a	n/a	response	n/a	n/a	correct
96.5170000000	n/a	n/a	stimulus	n/a	329004.jpg	animal_distractor
98.5160000000	n/a	n/a	stimulus	344	163050.jpg	animal_target
98.8600000000	n/a	n/a	response	n/a	n/a	correct
100.5200000000	n/a	n/a	stimulus	n/a	261070.jpg	animal_distractor
102.4150000000	n/a	n/a	stimulus	n/a	329046.jpg	animal_distractor
104.3190000000	n/a	n/a	stimulus	370	335097.jpg	animal_target
104.6890000000	n/a	n/a	response	n/a	n/a	correct
106.3770000000	n/a	n/a	stimulus	317	10043.jpg	animal_distractor
106.6940000000	n/a	n/a	response	n/a	n/a	incorrect
108.2490000000	n/a	n/a	stimulus	n/a	13092.jpg	animal_distractor
110.2940000000	n/a	n/a	stimulus	351	6071.jpg	animal_target
110.6450000000	n/a	n/a	response	n/a	n/a	correct
112.2200000000	n/a	n/a	stimulus	n/a	63017.jpg	animal_distractor
114.2680000000	n/a	n/a	stimulus	n/a	279006.jpg	animal_distractor
116.1640000000	n/a	n/a	stimulus	n/a	131078.jpg	animal_distractor
118.1920000000	n/a	n/a	stimulus	440	317018.jpg	animal_target
118.6320000000	n/a	n/a	response	n/a	n/a	correct
120.1250000000	n/a	n/a	stimulus	n/a	318061.jpg	animal_distractor
122.1070000000	n/a	n/a	stimulus	n/a	131004.jpg	animal_distractor
124.1780000000	n/a	n/a	stimulus	289	311025.jpg	animal_target
124.4670000000	n/a	n/a	response	n/a	n/a	correct
126.2260000000	n/a	n/a	stimulus	323	310068.jpg	animal_target
126.5490000000	n/a	n/a	response	n/a	n/a	correct
128.0460000000	n/a	n/a	stimulus	n/a	268003.jpg	animal_target
132.3860000000	n/a	n/a	stimulus	n/a	98057.jpg	animal_distractor
134.4190000000	n/a	n/a	stimulus	n/a	97046.jpg	animal_distractor
136.2420000000	n/a	n/a	stimulus	533	251064.jpg	animal_target
136.7750000000	n/a	n/a	response	n/a	n/a	correct
138.0570000000	n/a	n/a	stimulus	372	8142.jpg	animal_target
138.4290000000	n/a	n/a	response	n/a	n/a	correct
140.0960000000	n/a	n/a	stimulus	404	135079.jpg	animal_target
140.5000000000	n/a	n/a	response	n/a	n/a	correct
142.1760000000	n/a	n/a	stimulus	n/a	151089.jpg	animal_distractor
144.2240000000	n/a	n/a	stimulus	586	310078.jpg	animal_target
144.8100000000	n/a	n/a	response	n/a	n/a	correct
146.2230000000	n/a	n/a	stimulus	389	104083.jpg	animal_target
146.6120000000	n/a	n/a	response	n/a	n/a	correct
148.0750000000	n/a	n/a	stimulus	n/a	83051.jpg	animal_distractor
150.2200000000	n/a	n/a	stimulus	350	336008.jpg	animal_target
150.5700000000	n/a	n/a	response	n/a	n/a	correct
152.1940000000	n/a	n/a	stimulus	n/a	147036.jpg	animal_distractor
154.2930000000	n/a	n/a	stimulus	410	49074.jpg	animal_target
154.7030000000	n/a	n/a	response	n/a	n/a	correct
156.2380000000	n/a	n/a	stimulus	277	335095.jpg	animal_target
156.5150000000	n/a	n/a	response	n/a	n/a	correct
158.4290000000	n/a	n/a	stimulus	n/a	318091.jpg	animal_distractor
160.6220000000	n/a	n/a	stimulus	486	6033.jpg	animal_target
161.1080000000	n/a	n/a	response	n/a	n/a	correct
162.7490000000	n/a	n/a	stimulus	n/a	82027.jpg	animal_distractor
164.5690000000	n/a	n/a	stimulus	n/a	13098.jpg	animal_distractor
166.6140000000	n/a	n/a	stimulus	349	326014.jpg	animal_target
166.9630000000	n/a	n/a	response	n/a	n/a	correct
168.4350000000	n/a	n/a	stimulus	400	8069.jpg	animal_target
168.8350000000	n/a	n/a	response	n/a	n/a	correct
170.5080000000	n/a	n/a	stimulus	310	268045.jpg	animal_target
170.8180000000	n/a	n/a	response	n/a	n/a	correct
172.4690000000	n/a	n/a	stimulus	289	335002.jpg	animal_target
172.7580000000	n/a	n/a	response	n/a	n/a	correct
174.4480000000	n/a	n/a	stimulus	n/a	166090.jpg	animal_distractor
176.5160000000	n/a	n/a	stimulus	400	6085.jpg	animal_target
176.9160000000	n/a	n/a	response	n/a	n/a	correct
178.7240000000	n/a	n/a	stimulus	340	112034.jpg	animal_target
179.0640000000	n/a	n/a	response	n/a	n/a	correct
180.6880000000	n/a	n/a	stimulus	338	103062.jpg	animal_target
181.0260000000	n/a	n/a	response	n/a	n/a	correct
182.8700000000	n/a	n/a	stimulus	385	108088.jpg	animal_target
183.2550000000	n/a	n/a	response	n/a	n/a	correct
184.9810000000	n/a	n/a	stimulus	n/a	2082.jpg	animal_distractor
187.0410000000	n/a	n/a	stimulus	n/a	48006.jpg	animal_distractor
188.9800000000	n/a	n/a	stimulus	n/a	121091.jpg	animal_distractor
190.8580000000	n/a	n/a	stimulus	n/a	67062.jpg	animal_distractor
192.9990000000	n/a	n/a	stimulus	644	52004.jpg	animal_target
193.6430000000	n/a	n/a	response	n/a	n/a	correct
195.1740000000	n/a	n/a	stimulus	419	108039.jpg	animal_target
195.5930000000	n/a	n/a	response	n/a	n/a	correct
197.0870000000	n/a	n/a	stimulus	n/a	62033.jpg	animal_distractor
199.1140000000	n/a	n/a	stimulus	n/a	329095.jpg	animal_distractor
201.2540000000	n/a	n/a	stimulus	n/a	96042.jpg	animal_distractor
203.3790000000	n/a	n/a	stimulus	n/a	174023.jpg	animal_distractor
205.4490000000	n/a	n/a	stimulus	n/a	48042.jpg	animal_distractor
207.6070000000	n/a	n/a	stimulus	n/a	86022.jpg	animal_distractor
209.5380000000	n/a	n/a	stimulus	n/a	71089.jpg	animal_distractor
