onset	duration	sample	trial_type	response_time	stim_file	value
2.4860000000	n/a	n/a	stimulus	411	299046.jpg	difficult_target
2.8970000000	n/a	n/a	response	n/a	n/a	correct
4.3010000000	n/a	n/a	stimulus	n/a	13038.jpg	difficult_distractor
6.4100000000	n/a	n/a	stimulus	391	299046.jpg	difficult_target
6.8010000000	n/a	n/a	response	n/a	n/a	correct
8.2780000000	n/a	n/a	stimulus	376	299046.jpg	difficult_target
8.6540000000	n/a	n/a	response	n/a	n/a	correct
10.1900000000	n/a	n/a	stimulus	339	299046.jpg	difficult_target
10.5290000000	n/a	n/a	response	n/a	n/a	correct
12.1450000000	n/a	n/a	stimulus	n/a	28046.jpg	difficult_distractor
14.1340000000	n/a	n/a	stimulus	n/a	158072.jpg	difficult_distractor
16.3050000000	n/a	n/a	stimulus	381	299046.jpg	difficult_target
16.6860000000	n/a	n/a	response	n/a	n/a	correct
18.1450000000	n/a	n/a	stimulus	345	299046.jpg	difficult_target
18.4900000000	n/a	n/a	response	n/a	n/a	correct
20.2750000000	n/a	n/a	stimulus	n/a	174021.jpg	difficult_distractor
22.1020000000	n/a	n/a	stimulus	n/a	227016.jpg	difficult_distractor
24.0440000000	n/a	n/a	stimulus	n/a	11022.jpg	difficult_distractor
26.0620000000	n/a	n/a	stimulus	331	299046.jpg	difficult_target
26.3930000000	n/a	n/a	response	n/a	n/a	correct
28.0070000000	n/a	n/a	stimulus	349	299046.jpg	difficult_target
28.3560000000	n/a	n/a	response	n/a	n/a	correct
30.0080000000	n/a	n/a	stimulus	344	299046.jpg	difficult_target
30.3520000000	n/a	n/a	response	n/a	n/a	correct
31.9100000000	n/a	n/a	stimulus	n/a	184001.jpg	difficult_distractor
33.9100000000	n/a	n/a	stimulus	302	299046.jpg	difficult_target
34.2120000000	n/a	n/a	response	n/a	n/a	correct
35.9930000000	n/a	n/a	stimulus	n/a	250066.jpg	difficult_distractor
37.9680000000	n/a	n/a	stimulus	n/a	297069.jpg	difficult_distractor
39.8770000000	n/a	n/a	stimulus	n/a	61001.jpg	difficult_distractor
42.0160000000	n/a	n/a	stimulus	n/a	48066.jpg	difficult_distractor
43.8920000000	n/a	n/a	stimulus	n/a	83097.jpg	difficult_distractor
45.7350000000	n/a	n/a	stimulus	n/a	285032.jpg	difficult_distractor
47.6450000000	n/a	n/a	stimulus	322	299046.jpg	difficult_target
47.9670000000	n/a	n/a	response	n/a	n/a	correct
49.8280000000	n/a	n/a	stimulus	n/a	93012.jpg	difficult_distractor
51.9480000000	n/a	n/a	stimulus	354	299046.jpg	difficult_target
52.3020000000	n/a	n/a	response	n/a	n/a	correct
54.0040000000	n/a	n/a	stimulus	n/a	147095.jpg	difficult_distractor
56.1100000000	n/a	n/a	stimulus	381	299046.jpg	difficult_target
56.4910000000	n/a	n/a	response	n/a	n/a	correct
58.1520000000	n/a	n/a	stimulus	n/a	227096.jpg	difficult_distractor
59.9690000000	n/a	n/a	stimulus	346	299046.jpg	difficult_target
60.3150000000	n/a	n/a	response	n/a	n/a	correct
62.5800000000	n/a	n/a	stimulus	319	299046.jpg	difficult_target
62.8990000000	n/a	n/a	response	n/a	n/a	correct
64.5270000000	n/a	n/a	stimulus	n/a	72030.jpg	difficult_distractor
66.6630000000	n/a	n/a	stimulus	332	299046.jpg	difficult_target
66.9950000000	n/a	n/a	response	n/a	n/a	correct
68.8040000000	n/a	n/a	stimulus	330	299046.jpg	difficult_target
69.1340000000	n/a	n/a	response	n/a	n/a	correct
70.6330000000	n/a	n/a	stimulus	n/a	46044.jpg	difficult_distractor
72.5930000000	n/a	n/a	stimulus	332	299046.jpg	difficult_target
72.9250000000	n/a	n/a	response	n/a	n/a	correct
74.6740000000	n/a	n/a	stimulus	314	131034.jpg	difficult_distractor
74.9880000000	n/a	n/a	response	n/a	n/a	incorrect
76.7020000000	n/a	n/a	stimulus	n/a	11081.jpg	difficult_distractor
78.7440000000	n/a	n/a	stimulus	334	299046.jpg	difficult_target
79.0780000000	n/a	n/a	response	n/a	n/a	correct
80.5730000000	n/a	n/a	stimulus	286	299046.jpg	difficult_target
80.8590000000	n/a	n/a	response	n/a	n/a	correct
82.7420000000	n/a	n/a	stimulus	n/a	174064.jpg	difficult_distractor
84.8590000000	n/a	n/a	stimulus	338	299046.jpg	difficult_target
85.1970000000	n/a	n/a	response	n/a	n/a	correct
86.6780000000	n/a	n/a	stimulus	n/a	142019.jpg	difficult_distractor
88.8620000000	n/a	n/a	stimulus	n/a	208087.jpg	difficult_distractor
91.0200000000	n/a	n/a	stimulus	n/a	36196.jpg	difficult_distractor
93.1270000000	n/a	n/a	stimulus	358	299046.jpg	difficult_target
93.4850000000	n/a	n/a	response	n/a	n/a	correct
95.2840000000	n/a	n/a	stimulus	n/a	384009.jpg	difficult_distractor
97.3420000000	n/a	n/a	stimulus	329	299046.jpg	difficult_target
97.6710000000	n/a	n/a	response	n/a	n/a	correct
99.3730000000	n/a	n/a	stimulus	330	299046.jpg	difficult_target
99.7030000000	n/a	n/a	response	n/a	n/a	correct
101.3310000000	n/a	n/a	stimulus	309	299046.jpg	difficult_target
101.6400000000	n/a	n/a	response	n/a	n/a	correct
103.4030000000	n/a	n/a	stimulus	320	299046.jpg	difficult_target
103.7230000000	n/a	n/a	response	n/a	n/a	correct
105.4890000000	n/a	n/a	stimulus	n/a	98040.jpg	difficult_distractor
107.3770000000	n/a	n/a	stimulus	418	299046.jpg	difficult_target
107.7950000000	n/a	n/a	response	n/a	n/a	correct
109.2420000000	n/a	n/a	stimulus	298	299046.jpg	difficult_target
109.5400000000	n/a	n/a	response	n/a	n/a	correct
111.3400000000	n/a	n/a	stimulus	292	299046.jpg	difficult_target
111.6320000000	n/a	n/a	response	n/a	n/a	correct
113.3600000000	n/a	n/a	stimulus	n/a	67063.jpg	difficult_distractor
115.5320000000	n/a	n/a	stimulus	n/a	143016.jpg	difficult_distractor
117.5070000000	n/a	n/a	stimulus	349	299046.jpg	difficult_target
117.8560000000	n/a	n/a	response	n/a	n/a	correct
119.4220000000	n/a	n/a	stimulus	318	299046.jpg	difficult_target
119.7400000000	n/a	n/a	response	n/a	n/a	correct
121.4390000000	n/a	n/a	stimulus	259	299046.jpg	difficult_target
121.6980000000	n/a	n/a	response	n/a	n/a	correct
123.7470000000	n/a	n/a	stimulus	n/a	138024.jpg	difficult_distractor
125.6460000000	n/a	n/a	stimulus	n/a	111004.jpg	difficult_distractor
127.7220000000	n/a	n/a	stimulus	n/a	374096.jpg	difficult_distractor
129.8040000000	n/a	n/a	stimulus	n/a	44021.jpg	difficult_distractor
131.6760000000	n/a	n/a	stimulus	340	299046.jpg	difficult_target
132.0160000000	n/a	n/a	response	n/a	n/a	correct
133.5020000000	n/a	n/a	stimulus	293	299046.jpg	difficult_target
133.7950000000	n/a	n/a	response	n/a	n/a	correct
135.4500000000	n/a	n/a	stimulus	273	299046.jpg	difficult_target
135.7230000000	n/a	n/a	response	n/a	n/a	correct
137.5770000000	n/a	n/a	stimulus	323	299046.jpg	difficult_target
137.9000000000	n/a	n/a	response	n/a	n/a	correct
139.7570000000	n/a	n/a	stimulus	n/a	334085.jpg	difficult_distractor
141.7210000000	n/a	n/a	stimulus	n/a	86093.jpg	difficult_distractor
143.7700000000	n/a	n/a	stimulus	n/a	98029.jpg	difficult_distractor
145.7850000000	n/a	n/a	stimulus	281	299046.jpg	difficult_target
146.0660000000	n/a	n/a	response	n/a	n/a	correct
147.9560000000	n/a	n/a	stimulus	n/a	111058.jpg	difficult_distractor
149.9600000000	n/a	n/a	stimulus	n/a	101086.jpg	difficult_distractor
151.8260000000	n/a	n/a	stimulus	n/a	267011.jpg	difficult_distractor
153.6880000000	n/a	n/a	stimulus	n/a	286002.jpg	difficult_distractor
155.7680000000	n/a	n/a	stimulus	383	299046.jpg	difficult_target
156.1510000000	n/a	n/a	response	n/a	n/a	correct
157.9330000000	n/a	n/a	stimulus	334	299046.jpg	difficult_target
158.2670000000	n/a	n/a	response	n/a	n/a	correct
159.9040000000	n/a	n/a	stimulus	330	299046.jpg	difficult_target
160.2340000000	n/a	n/a	response	n/a	n/a	correct
162.0580000000	n/a	n/a	stimulus	n/a	253050.jpg	difficult_distractor
164.0940000000	n/a	n/a	stimulus	331	299046.jpg	difficult_target
164.4250000000	n/a	n/a	response	n/a	n/a	correct
165.9360000000	n/a	n/a	stimulus	n/a	257041.jpg	difficult_distractor
168.0440000000	n/a	n/a	stimulus	294	334056.jpg	difficult_distractor
168.3380000000	n/a	n/a	response	n/a	n/a	incorrect
170.2170000000	n/a	n/a	stimulus	n/a	151072.jpg	difficult_distractor
172.2400000000	n/a	n/a	stimulus	n/a	250067.jpg	difficult_distractor
174.1970000000	n/a	n/a	stimulus	343	299046.jpg	difficult_target
174.5400000000	n/a	n/a	response	n/a	n/a	correct
176.0310000000	n/a	n/a	stimulus	n/a	151031.jpg	difficult_distractor
178.0980000000	n/a	n/a	stimulus	354	299046.jpg	difficult_target
178.4520000000	n/a	n/a	response	n/a	n/a	correct
180.2380000000	n/a	n/a	stimulus	344	299046.jpg	difficult_target
180.5820000000	n/a	n/a	response	n/a	n/a	correct
182.2890000000	n/a	n/a	stimulus	n/a	172094.jpg	difficult_distractor
184.3830000000	n/a	n/a	stimulus	314	299046.jpg	difficult_target
184.6970000000	n/a	n/a	response	n/a	n/a	correct
186.4430000000	n/a	n/a	stimulus	293	299046.jpg	difficult_target
186.7360000000	n/a	n/a	response	n/a	n/a	correct
188.5470000000	n/a	n/a	stimulus	n/a	61029.jpg	difficult_distractor
190.5800000000	n/a	n/a	stimulus	n/a	128079.jpg	difficult_distractor
192.5330000000	n/a	n/a	stimulus	n/a	2084.jpg	difficult_distractor
194.4950000000	n/a	n/a	stimulus	351	299046.jpg	difficult_target
194.8460000000	n/a	n/a	response	n/a	n/a	correct
196.3750000000	n/a	n/a	stimulus	354	299046.jpg	difficult_target
196.7290000000	n/a	n/a	response	n/a	n/a	correct
198.5540000000	n/a	n/a	stimulus	n/a	86075.jpg	difficult_distractor
202.3600000000	n/a	n/a	stimulus	339	299046.jpg	difficult_target
202.6990000000	n/a	n/a	response	n/a	n/a	correct
