ROI,SNR_before_dB,SNR_after_dB,Delta_SNR_dB,SME_before_uV,SME_after_uV,Delta_SME_uV,CohenD_before,CohenD_after,Delta_CohenD
Frontal ROI,17.536265280586083,-2.002603372000423,-19.538868652586505,0.3255376760464337,0.24879462012182096,-0.0767430559246127,0.002879918700392413,-0.07765682721668736,-0.08053674591707977
Parieto-Occipital ROI,20.41696663583783,0.2074052534058337,-20.209561382431993,0.25254795280247944,0.246055802828416,-0.006492149974063485,0.45086347670072724,0.045956438442252195,-0.404907038258475
