ROI,SME_familiar_before_uV,SME_familiar_after_uV,Delta_SME_familiar_uV,SME_new_before_uV,SME_new_after_uV,Delta_SME_new_uV
Frontal ROI,0.7076009422690814,0.3645866486740955,-0.34301429359498586,0.8811337188750168,0.43167785159093564,-0.44945586728408105
Parietal ROI,0.1998440721513493,0.1902229243102917,-0.009621147841057612,0.2035016466916852,0.19199931532034362,-0.01150233137134156
