ROI,SME_familiar_before_uV,SME_familiar_after_uV,Delta_SME_familiar_uV,SME_new_before_uV,SME_new_after_uV,Delta_SME_new_uV
Frontal ROI,0.4582340193230195,0.549768784021724,0.09153476469870458,0.4803955095194797,0.41067135468620686,-0.06972415483327285
Parieto-Occipital ROI,0.38342130169247124,0.43144683148787316,0.048025529795401894,0.38124523820570677,0.4114003450212455,0.030155106815538735
