ROI,SNR_before_dB,SNR_after_dB,Delta_SNR_dB,SME_before_uV,SME_after_uV,Delta_SME_uV,CohenD_before,CohenD_after,Delta_CohenD
Frontal ROI,18.73428653422253,14.870392768113993,-3.863893766108538,0.3467491345229238,0.31458569927384,-0.032163435249083716,-0.23387928538157396,-0.23679100741849077,-0.002911722036916778
Parieto-Occipital ROI,20.643116794827712,16.81001719936479,-3.8330995954629197,0.1516567855762723,0.137406229302407,-0.014250556273865289,0.40423308951881165,0.40252870216701087,-0.0017043873518007443
