ROI,SNR_before_dB,SNR_after_dB,Delta_SNR_dB,SME_before_uV,SME_after_uV,Delta_SME_uV,CohenD_before,CohenD_after,Delta_CohenD
Frontal ROI,18.73428653422253,14.870392768113993,-3.863893766108538,0.3467491345229238,0.31458569927384,-0.0321634352490837,-0.2338792853815739,-0.2367910074184907,-0.0029117220369167
Parieto-Occipital ROI,20.643116794827712,16.81001719936479,-3.83309959546292,0.1516567855762723,0.137406229302407,-0.0142505562738652,0.4042330895188116,0.4025287021670108,-0.0017043873518007
