subject,session,roi,condition,time_s,amplitude_uV
sub-015,ses-01,Frontal ROI,familiar,-0.014,0.41044575388867666
sub-015,ses-01,Frontal ROI,familiar,-0.013,0.3908055553609451
sub-015,ses-01,Frontal ROI,familiar,-0.012,0.3692205985134895
sub-015,ses-01,Frontal ROI,familiar,-0.011,0.3492359090311859
sub-015,ses-01,Frontal ROI,familiar,-0.01,0.334101210688443
sub-015,ses-01,Frontal ROI,familiar,-0.009,0.32624809164674806
sub-015,ses-01,Frontal ROI,familiar,-0.008,0.32711548113721395
sub-015,ses-01,Frontal ROI,familiar,-0.007,0.33725579171107944
sub-015,ses-01,Frontal ROI,familiar,-0.006,0.3564894177372765
sub-015,ses-01,Frontal ROI,familiar,-0.005,0.38389511830814654
sub-015,ses-01,Frontal ROI,familiar,-0.004,0.4176249462133072
sub-015,ses-01,Frontal ROI,familiar,-0.003,0.45475875136644983
sub-015,ses-01,Frontal ROI,familiar,-0.002,0.49149640013766355
sub-015,ses-01,Frontal ROI,familiar,-0.001,0.5238172739513715
sub-015,ses-01,Frontal ROI,familiar,0.0,0.548427355678932
sub-015,ses-01,Frontal ROI,familiar,0.001,0.563580514354585
sub-015,ses-01,Frontal ROI,familiar,0.002,0.5693825677834229
sub-015,ses-01,Frontal ROI,familiar,0.003,0.5674310855040889
sub-015,ses-01,Frontal ROI,familiar,0.004,0.5599583344802672
sub-015,ses-01,Frontal ROI,familiar,0.005,0.5488746383189225
sub-015,ses-01,Frontal ROI,familiar,0.006,0.5351383655327555
sub-015,ses-01,Frontal ROI,familiar,0.007,0.5186952910608233
sub-015,ses-01,Frontal ROI,familiar,0.008,0.4989339054014616
sub-015,ses-01,Frontal ROI,familiar,0.009,0.47538701362080504
sub-015,ses-01,Frontal ROI,familiar,0.01,0.44836064874217935
sub-015,ses-01,Frontal ROI,familiar,0.011,0.41923907383713055
sub-015,ses-01,Frontal ROI,familiar,0.012,0.39032101168329664
sub-015,ses-01,Frontal ROI,familiar,0.013,0.3641878721445702
sub-015,ses-01,Frontal ROI,familiar,0.014,0.3427994436749996
sub-015,ses-01,Frontal ROI,familiar,0.015,0.32668109455013494
sub-015,ses-01,Frontal ROI,familiar,0.016,0.31459669625884357
sub-015,ses-01,Frontal ROI,familiar,0.017,0.30393660902698233
sub-015,ses-01,Frontal ROI,familiar,0.018,0.29174231327087446
sub-015,ses-01,Frontal ROI,familiar,0.019,0.2759681743960666
sub-015,ses-01,Frontal ROI,familiar,0.02,0.25641248533623845
sub-015,ses-01,Frontal ROI,familiar,0.021,0.23486029489995508
sub-015,ses-01,Frontal ROI,familiar,0.022,0.2143483625375771
sub-015,ses-01,Frontal ROI,familiar,0.023,0.1978872007583899
sub-015,ses-01,Frontal ROI,familiar,0.024,0.18722055224504316
sub-015,ses-01,Frontal ROI,familiar,0.025,0.1821500985985565
sub-015,ses-01,Frontal ROI,familiar,0.026,0.18065870283997956
sub-015,ses-01,Frontal ROI,familiar,0.027,0.1796885889857991
sub-015,ses-01,Frontal ROI,familiar,0.028,0.1761578779839021
sub-015,ses-01,Frontal ROI,familiar,0.029,0.16775502829048405
sub-015,ses-01,Frontal ROI,familiar,0.03,0.15323574328135972
sub-015,ses-01,Frontal ROI,familiar,0.031,0.1322303033206126
sub-015,ses-01,Frontal ROI,familiar,0.032,0.10481162727700732
sub-015,ses-01,Frontal ROI,familiar,0.033,0.0711805665093142
sub-015,ses-01,Frontal ROI,familiar,0.034,0.031750640056296395
sub-015,ses-01,Frontal ROI,familiar,0.035,-0.012337019729083533
sub-015,ses-01,Frontal ROI,familiar,0.036,-0.05855276774042279
sub-015,ses-01,Frontal ROI,familiar,0.037,-0.10264854619355154
sub-015,ses-01,Frontal ROI,familiar,0.038,-0.13905544919509966
sub-015,ses-01,Frontal ROI,familiar,0.039,-0.1620817666798579
sub-015,ses-01,Frontal ROI,familiar,0.04,-0.16757763664149855
sub-015,ses-01,Frontal ROI,familiar,0.041,-0.15444505321732527
sub-015,ses-01,Frontal ROI,familiar,0.042,-0.12535704895878508
sub-015,ses-01,Frontal ROI,familiar,0.043,-0.08633755423876953
sub-015,ses-01,Frontal ROI,familiar,0.044,-0.045312409190848627
sub-015,ses-01,Frontal ROI,familiar,0.045,-0.01013382140696416
sub-015,ses-01,Frontal ROI,familiar,0.046,0.013259741084464975
sub-015,ses-01,Frontal ROI,familiar,0.047,0.021966808774554935
sub-015,ses-01,Frontal ROI,familiar,0.048,0.016196755215001146
sub-015,ses-01,Frontal ROI,familiar,0.049,-0.0016704133216733914
sub-015,ses-01,Frontal ROI,familiar,0.05,-0.028608462348724703
sub-015,ses-01,Frontal ROI,familiar,0.051,-0.062361631439991114
sub-015,ses-01,Frontal ROI,familiar,0.052,-0.10209746296441519
sub-015,ses-01,Frontal ROI,familiar,0.053,-0.14798897652247078
sub-015,ses-01,Frontal ROI,familiar,0.054,-0.19994750096094852
sub-015,ses-01,Frontal ROI,familiar,0.055,-0.2561917775041468
sub-015,ses-01,Frontal ROI,familiar,0.056,-0.31249833296888396
sub-015,ses-01,Frontal ROI,familiar,0.057,-0.3626988801962524
sub-015,ses-01,Frontal ROI,familiar,0.058,-0.4003609155452476
sub-015,ses-01,Frontal ROI,familiar,0.059,-0.42094673492852047
sub-015,ses-01,Frontal ROI,familiar,0.06,-0.42345238353363895
sub-015,ses-01,Frontal ROI,familiar,0.061,-0.4107530476118771
sub-015,ses-01,Frontal ROI,familiar,0.062,-0.38849399817513564
sub-015,ses-01,Frontal ROI,familiar,0.063,-0.36304499569318305
sub-015,ses-01,Frontal ROI,familiar,0.064,-0.3394263011682375
sub-015,ses-01,Frontal ROI,familiar,0.065,-0.3200345085970955
sub-015,ses-01,Frontal ROI,familiar,0.066,-0.3045336628167745
sub-015,ses-01,Frontal ROI,familiar,0.067,-0.290723458714662
sub-015,ses-01,Frontal ROI,familiar,0.068,-0.27585328212549975
sub-015,ses-01,Frontal ROI,familiar,0.069,-0.2578325913975456
sub-015,ses-01,Frontal ROI,familiar,0.07,-0.23602188826401424
sub-015,ses-01,Frontal ROI,familiar,0.071,-0.21156577268556317
sub-015,ses-01,Frontal ROI,familiar,0.072,-0.18737307186028523
sub-015,ses-01,Frontal ROI,familiar,0.073,-0.16780817252344468
sub-015,ses-01,Frontal ROI,familiar,0.074,-0.1580774789618227
sub-015,ses-01,Frontal ROI,familiar,0.075,-0.16334452754974885
sub-015,ses-01,Frontal ROI,familiar,0.076,-0.18780275438391375
sub-015,ses-01,Frontal ROI,familiar,0.077,-0.23409354413808137
sub-015,ses-01,Frontal ROI,familiar,0.078,-0.303394907862007
sub-015,ses-01,Frontal ROI,familiar,0.079,-0.3962068895538438
sub-015,ses-01,Frontal ROI,familiar,0.08,-0.5134948714558989
sub-015,ses-01,Frontal ROI,familiar,0.081,-0.657631937228149
sub-015,ses-01,Frontal ROI,familiar,0.082,-0.8326358397685277
sub-015,ses-01,Frontal ROI,familiar,0.083,-1.0435043157663344
sub-015,ses-01,Frontal ROI,familiar,0.084,-1.2948414232291723
sub-015,ses-01,Frontal ROI,familiar,0.085,-1.5892359768942967
sub-015,ses-01,Frontal ROI,familiar,0.086,-1.925902755100354
sub-015,ses-01,Frontal ROI,familiar,0.087,-2.299975942328135
sub-015,ses-01,Frontal ROI,familiar,0.088,-2.7026443975646033
sub-015,ses-01,Frontal ROI,familiar,0.089,-3.122092834311637
sub-015,ses-01,Frontal ROI,familiar,0.09,-3.545013978834918
sub-015,ses-01,Frontal ROI,familiar,0.091,-3.958354662950633
sub-015,ses-01,Frontal ROI,familiar,0.092,-4.3509549838937
sub-015,ses-01,Frontal ROI,familiar,0.093,-4.714773120303026
sub-015,ses-01,Frontal ROI,familiar,0.094,-5.045427112938793
sub-015,ses-01,Frontal ROI,familiar,0.095,-5.341884768890596
sub-015,ses-01,Frontal ROI,familiar,0.096,-5.605353657965368
sub-015,ses-01,Frontal ROI,familiar,0.097,-5.837687755522332
sub-015,ses-01,Frontal ROI,familiar,0.098,-6.039802229271192
sub-015,ses-01,Frontal ROI,familiar,0.099,-6.210594070687983
sub-015,ses-01,Frontal ROI,familiar,0.1,-6.346715531107332
sub-015,ses-01,Frontal ROI,familiar,0.101,-6.443291436372125
sub-015,ses-01,Frontal ROI,familiar,0.102,-6.495389666100026
sub-015,ses-01,Frontal ROI,familiar,0.103,-6.4998301379512196
sub-015,ses-01,Frontal ROI,familiar,0.104,-6.456805840052793
sub-015,ses-01,Frontal ROI,familiar,0.105,-6.370818588909252
sub-015,ses-01,Frontal ROI,familiar,0.106,-6.250601304683268
sub-015,ses-01,Frontal ROI,familiar,0.107,-6.10799305768397
